iter	Accuracy	MultiClass
0	0.4420319541	1.096771351
1	0.4469479721	1.094490173
2	0.4436706268	1.093058234
3	0.4416222859	1.091441772
4	0.4412126178	1.089713914
5	0.4403932814	1.088036077
6	0.4412126178	1.086415979
7	0.446538304	1.084647075
8	0.4551413355	1.083013875
9	0.4547316673	1.081415135
10	0.4510446538	1.080264236
11	0.4526833265	1.079091411
12	0.4559606719	1.077556735
13	0.4592380172	1.075908781
14	0.458828349	1.074637844
15	0.4580090127	1.073556575
16	0.4575993445	1.072231361
17	0.4571896764	1.070980176
18	0.4571896764	1.06983782
19	0.4571896764	1.0683187
20	0.4571896764	1.067396203
21	0.4567800082	1.066714354
22	0.4571896764	1.065916876
23	0.4567800082	1.065360324
24	0.4567800082	1.064411113
25	0.4571896764	1.063499035
26	0.4575993445	1.062559991
27	0.4584186809	1.061619722
28	0.4596476854	1.060788258
29	0.4596476854	1.060221847
30	0.4596476854	1.059521957
31	0.4592380172	1.058794816
32	0.4596476854	1.058213966
33	0.4592380172	1.057244902
34	0.4596476854	1.056420286
35	0.4596476854	1.055767918
36	0.4592380172	1.055197644
37	0.458828349	1.054533466
38	0.458828349	1.053944617
39	0.458828349	1.053316867
40	0.4596476854	1.052768208
41	0.4600573535	1.052223076
42	0.4596476854	1.051724647
43	0.4596476854	1.051161573
44	0.4604670217	1.050663869
45	0.4600573535	1.050100305
46	0.4600573535	1.049632758
47	0.4600573535	1.049154029
48	0.4600573535	1.048678858
49	0.4596476854	1.048140596
50	0.4596476854	1.04756989
51	0.4600573535	1.047325472
52	0.4596476854	1.047016454
53	0.4596476854	1.046727067
54	0.4596476854	1.04616798
55	0.4596476854	1.045717928
56	0.4596476854	1.045375604
57	0.4600573535	1.044744539
58	0.4600573535	1.0442636
59	0.4600573535	1.043785551
60	0.4600573535	1.043491309
61	0.4596476854	1.043087468
62	0.4604670217	1.042449761
63	0.4600573535	1.041875495
64	0.4600573535	1.041569298
65	0.4604670217	1.040971795
66	0.4608766899	1.040575961
67	0.4608766899	1.040169932
68	0.4608766899	1.03982464
69	0.4600573535	1.039182681
70	0.4600573535	1.038718898
71	0.4600573535	1.038378645
72	0.4608766899	1.03799445
73	0.4604670217	1.0375851
74	0.4604670217	1.037350605
75	0.4604670217	1.036744866
76	0.4604670217	1.036387379
77	0.4604670217	1.035837578
78	0.4604670217	1.03545139
79	0.4600573535	1.035044298
80	0.4608766899	1.034539259
81	0.4604670217	1.034054367
82	0.461286358	1.03366558
83	0.4608766899	1.033033458
84	0.4604670217	1.032717819
85	0.4600573535	1.032433434
86	0.4600573535	1.03212768
87	0.4600573535	1.031843822
88	0.4596476854	1.031507908
89	0.4596476854	1.031170357
90	0.4600573535	1.030933628
91	0.4600573535	1.030729577
92	0.4600573535	1.030324675
93	0.4604670217	1.030017515
94	0.4608766899	1.029600486
95	0.4604670217	1.029243588
96	0.4600573535	1.028907747
97	0.4600573535	1.028744511
98	0.4604670217	1.028067698
99	0.4616960262	1.027696869
100	0.461286358	1.027256558
101	0.4625153626	1.026842152
102	0.4621056944	1.02657502
103	0.4629250307	1.026231028
104	0.4629250307	1.025955394
105	0.4629250307	1.025609025
106	0.4637443671	1.025209946
107	0.4633346989	1.024888515
108	0.4633346989	1.024480121
109	0.4641540352	1.024133794
110	0.4637443671	1.023722537
111	0.4637443671	1.023335716
112	0.4657927079	1.023051735
113	0.4666120442	1.02263149
114	0.4666120442	1.022168838
115	0.4662023761	1.021728925
116	0.4670217124	1.021330717
117	0.4678410488	1.021131296
118	0.4678410488	1.02087111
119	0.4666120442	1.020694226
120	0.4686603851	1.020334679
121	0.4694797214	1.020054258
122	0.4694797214	1.019919792
123	0.4686603851	1.019421702
124	0.4686603851	1.019224447
125	0.4690700533	1.019043309
126	0.4698893896	1.018853533
127	0.4698893896	1.018661208
128	0.4694797214	1.018387189
129	0.4702990578	1.018064666
130	0.4698893896	1.017736067
131	0.4702990578	1.017413332
132	0.4707087259	1.017048599
133	0.4711183941	1.016675771
134	0.4715280623	1.016301526
135	0.4715280623	1.016075997
136	0.4715280623	1.015853724
137	0.4715280623	1.015558546
138	0.4719377304	1.015209889
139	0.4727570668	1.014911382
140	0.4727570668	1.014539942
141	0.4731667349	1.014258003
142	0.4735764031	1.013899569
143	0.4735764031	1.013404472
144	0.4731667349	1.013181113
145	0.4739860713	1.012858846
146	0.4739860713	1.012526932
147	0.4743957395	1.012226287
148	0.4743957395	1.011903408
149	0.4743957395	1.011506521
150	0.4760344121	1.011211422
151	0.475624744	1.010724261
152	0.4768537485	1.010270266
153	0.4768537485	1.009971545
154	0.4764440803	1.00971454
155	0.4776730848	1.009433889
156	0.4776730848	1.009098322
157	0.4776730848	1.008884725
158	0.478082753	1.008473236
159	0.478082753	1.008099536
160	0.4784924211	1.007784555
161	0.4784924211	1.007361394
162	0.4801310938	1.007122197
163	0.4801310938	1.006934144
164	0.4801310938	1.006807964
165	0.4817697665	1.006392909
166	0.4817697665	1.006049529
167	0.4813600983	1.0057392
168	0.4821794347	1.005484834
169	0.4821794347	1.00515276
170	0.4850471118	1.004692428
171	0.4846374437	1.004466726
172	0.4858664482	1.004051695
173	0.4858664482	1.003777625
174	0.4875051209	1.003337567
175	0.487914789	1.003191445
