iter	Passed	Remaining
0	4	4353
1	8	3771
2	11	3528
3	14	3458
4	18	3421
5	22	3489
6	26	3455
7	29	3427
8	32	3362
9	36	3342
10	39	3336
11	43	3331
12	47	3318
13	50	3292
14	54	3306
15	57	3299
16	61	3277
17	64	3258
18	67	3241
19	73	3328
20	77	3336
21	81	3355
22	85	3359
23	89	3364
24	93	3390
25	98	3417
26	102	3442
27	106	3446
28	110	3443
29	114	3426
30	117	3415
31	121	3416
32	125	3416
33	129	3422
34	134	3426
35	137	3425
36	142	3436
37	147	3470
38	152	3494
39	155	3467
40	158	3438
41	161	3418
42	164	3400
43	168	3384
44	171	3372
45	174	3361
46	178	3358
47	182	3350
48	185	3343
49	189	3331
50	193	3328
51	196	3322
52	200	3316
53	203	3306
54	207	3302
55	211	3294
56	215	3296
57	218	3287
58	223	3292
59	226	3291
60	230	3281
61	234	3279
62	237	3271
63	242	3278
64	246	3274
65	249	3268
66	254	3271
67	259	3284
68	263	3283
69	267	3283
70	271	3286
71	275	3284
72	279	3275
73	282	3270
74	288	3283
75	292	3284
76	295	3278
77	300	3278
78	304	3277
79	307	3271
80	310	3259
81	317	3279
82	320	3270
83	323	3261
84	327	3256
85	331	3255
86	336	3258
87	340	3254
88	346	3273
89	350	3273
90	355	3273
91	358	3267
92	363	3268
93	367	3268
94	371	3269
95	375	3259
96	380	3265
97	384	3260
98	387	3256
99	391	3249
100	394	3239
101	398	3233
102	402	3232
103	405	3224
104	409	3219
105	413	3216
106	417	3209
107	421	3204
108	424	3196
109	427	3187
110	431	3182
111	434	3176
112	438	3170
113	441	3161
114	446	3163
115	450	3159
116	454	3155
117	457	3151
118	461	3143
119	465	3139
120	469	3141
121	474	3139
122	478	3136
123	482	3137
124	486	3133
125	490	3129
126	494	3129
127	500	3135
128	504	3134
129	508	3127
130	513	3132
131	517	3130
132	521	3126
133	526	3129
134	531	3129
135	534	3122
136	539	3122
137	544	3122
138	547	3117
139	551	3112
140	556	3112
141	561	3116
142	565	3112
143	569	3107
144	579	3136
145	589	3165
146	596	3178
147	601	3175
148	605	3175
149	610	3175
150	614	3172
151	620	3175
152	624	3172
153	630	3178
154	635	3178
155	640	3180
156	645	3179
157	652	3187
158	658	3194
159	665	3201
160	669	3197
161	672	3190
162	678	3191
163	683	3193
164	687	3188
165	691	3183
166	696	3183
167	702	3185
168	706	3179
169	710	3175
170	714	3169
171	719	3169
172	723	3164
173	727	3159
174	731	3155
175	736	3155
176	740	3152
177	745	3151
178	750	3147
179	754	3145
180	760	3147
181	765	3145
182	769	3142
183	773	3136
184	777	3129
185	781	3125
186	785	3119
187	788	3112
188	792	3106
189	796	3100
190	801	3099
191	805	3094
192	809	3089
193	813	3085
194	817	3081
195	820	3074
196	825	3070
197	829	3065
198	833	3061
199	837	3055
200	840	3049
201	845	3045
202	848	3038
203	852	3035
204	856	3029
205	860	3025
206	864	3020
207	868	3013
208	872	3009
209	876	3004
210	880	3000
211	886	3002
212	890	2998
213	894	2994
214	899	2992
215	905	2994
216	911	2993
217	915	2988
218	919	2986
219	924	2982
220	929	2981
221	933	2976
222	937	2972
223	941	2968
224	945	2962
225	949	2957
226	953	2952
227	957	2946
228	961	2941
229	964	2935
230	968	2932
231	972	2927
232	976	2921
233	980	2917
234	984	2911
235	988	2907
236	994	2906
237	998	2902
238	1003	2900
239	1013	2915
240	1025	2930
241	1029	2927
242	1033	2921
243	1037	2916
244	1041	2910
245	1045	2905
246	1049	2900
247	1052	2895
248	1056	2888
249	1060	2884
250	1064	2880
251	1069	2878
252	1075	2877
253	1078	2870
254	1083	2866
255	1087	2863
256	1091	2859
257	1098	2860
258	1103	2858
259	1107	2852
260	1110	2847
261	1114	2842
262	1118	2836
263	1122	2830
264	1125	2823
265	1130	2822
266	1135	2819
267	1140	2817
268	1145	2813
269	1148	2808
270	1152	2802
271	1156	2797
