iter	Accuracy	MultiClass
0	0.456557377	1.096428663
1	0.4573770492	1.094374399
2	0.4557377049	1.092592866
3	0.4532786885	1.090924957
4	0.4581967213	1.089101129
5	0.4569672131	1.087189715
6	0.456557377	1.085526401
7	0.456557377	1.084018007
8	0.4569672131	1.082629481
9	0.4586065574	1.081205165
10	0.4577868852	1.079938045
11	0.4581967213	1.078442291
12	0.4598360656	1.077080419
13	0.4586065574	1.075788762
14	0.4590163934	1.074929719
15	0.4606557377	1.073844695
16	0.4573770492	1.072632196
17	0.4569672131	1.071660577
18	0.4553278689	1.070984988
19	0.4598360656	1.069671448
20	0.462704918	1.06851349
21	0.4610655738	1.067351624
22	0.4602459016	1.06670032
23	0.4606557377	1.065441808
24	0.4635245902	1.06427279
25	0.462295082	1.063372819
26	0.462295082	1.06251929
27	0.462295082	1.061500349
28	0.4614754098	1.060413211
29	0.4618852459	1.059272542
30	0.462295082	1.058647804
31	0.4639344262	1.057687545
32	0.4602459016	1.056835899
33	0.4606557377	1.056060994
34	0.4594262295	1.055138571
35	0.4606557377	1.054341201
36	0.4606557377	1.053536578
37	0.4598360656	1.05300664
38	0.4602459016	1.052216007
39	0.4598360656	1.051457524
40	0.4606557377	1.050641401
41	0.4606557377	1.049949692
42	0.4610655738	1.049146427
43	0.4606557377	1.048718324
44	0.4631147541	1.04815729
45	0.4647540984	1.047468858
46	0.4643442623	1.04715442
47	0.4635245902	1.046439415
48	0.462704918	1.045869452
49	0.4614754098	1.045223123
50	0.462704918	1.044706988
51	0.4618852459	1.04410359
52	0.462295082	1.043748528
53	0.462704918	1.043468094
54	0.4610655738	1.043038905
55	0.4643442623	1.042573108
56	0.4639344262	1.042068271
57	0.4647540984	1.041388894
58	0.4663934426	1.041051241
59	0.4659836066	1.040649608
60	0.4651639344	1.04025314
61	0.4651639344	1.039640938
62	0.4655737705	1.039212383
63	0.4647540984	1.038388461
64	0.4655737705	1.038031037
65	0.4668032787	1.037533965
66	0.4676229508	1.037188281
67	0.4672131148	1.036813329
68	0.4668032787	1.036518723
69	0.4668032787	1.036142191
70	0.4668032787	1.035874253
71	0.4668032787	1.035380876
72	0.4668032787	1.035033065
73	0.4672131148	1.034655637
74	0.4672131148	1.034206278
75	0.4680327869	1.033601632
76	0.4680327869	1.032984823
77	0.468442623	1.032694619
78	0.468442623	1.032259736
79	0.468852459	1.031924782
80	0.468442623	1.031580086
81	0.468852459	1.031270971
82	0.468852459	1.030875595
83	0.4692622951	1.030436923
84	0.4713114754	1.029835616
85	0.4692622951	1.029353174
86	0.4729508197	1.029020787
87	0.4737704918	1.028651725
88	0.4733606557	1.028408477
89	0.4737704918	1.028018373
90	0.4737704918	1.027793227
91	0.4737704918	1.027347142
92	0.4737704918	1.026929968
93	0.4737704918	1.026590417
94	0.4737704918	1.026192717
95	0.4737704918	1.025894553
96	0.4737704918	1.025523898
97	0.4733606557	1.025315683
98	0.4741803279	1.024754517
99	0.4737704918	1.024389523
100	0.4729508197	1.024025943
101	0.4737704918	1.023549058
102	0.4737704918	1.023236328
103	0.4733606557	1.022996641
104	0.4729508197	1.022786045
105	0.4737704918	1.022414269
106	0.4745901639	1.022152384
107	0.475	1.021893781
108	0.4754098361	1.021528158
109	0.475	1.021195314
110	0.4754098361	1.020595336
111	0.4758196721	1.020270028
112	0.4766393443	1.020043439
113	0.4770491803	1.019700258
114	0.4762295082	1.019286496
115	0.4770491803	1.018985985
116	0.4786885246	1.018681729
117	0.4790983607	1.018609659
118	0.4786885246	1.018373781
119	0.4786885246	1.018184514
120	0.4782786885	1.017792171
121	0.4782786885	1.017587214
122	0.4782786885	1.017463661
123	0.4790983607	1.017047601
124	0.4786885246	1.016861124
125	0.4795081967	1.016600044
126	0.4795081967	1.016191164
127	0.4795081967	1.016068585
128	0.4803278689	1.01569515
