iter	Accuracy	MultiClass
0	0.4412126178	1.096932689
1	0.4559606719	1.094532021
2	0.4506349857	1.09276243
3	0.4473576403	1.091137412
4	0.4473576403	1.089475777
5	0.4473576403	1.087693764
6	0.446538304	1.086327685
7	0.4461286358	1.084843607
8	0.4457189676	1.08328162
9	0.4461286358	1.081772263
10	0.4444899631	1.080422582
11	0.4453092995	1.079122796
12	0.4432609586	1.077983479
13	0.4453092995	1.076574709
14	0.4469479721	1.075148353
15	0.448996313	1.074052745
16	0.4469479721	1.073024414
17	0.4498156493	1.071979276
18	0.4555510037	1.070932233
19	0.4547316673	1.069613804
20	0.4559606719	1.068415593
21	0.45637034	1.067646755
22	0.4543219992	1.066841671
23	0.4547316673	1.066059717
24	0.4559606719	1.065238894
25	0.4555510037	1.064460478
26	0.4547316673	1.063653827
27	0.4551413355	1.062739477
28	0.4571896764	1.061656593
29	0.45637034	1.060525306
30	0.4559606719	1.060020749
31	0.4567800082	1.059146531
32	0.4575993445	1.0583008
33	0.4575993445	1.057497307
34	0.4571896764	1.056932002
35	0.4571896764	1.05627537
36	0.4571896764	1.055584844
37	0.45637034	1.055092177
38	0.4575993445	1.05459334
39	0.4567800082	1.05403241
40	0.4575993445	1.05339125
41	0.4575993445	1.052925244
42	0.458828349	1.052234689
43	0.4575993445	1.051717835
44	0.4580090127	1.051220958
45	0.4580090127	1.050697394
46	0.4584186809	1.05005939
47	0.4584186809	1.049472717
48	0.4596476854	1.048820607
49	0.4580090127	1.048295836
50	0.458828349	1.047873139
51	0.4584186809	1.047280858
52	0.4575993445	1.046686444
53	0.4571896764	1.046174436
54	0.4580090127	1.045685913
55	0.4571896764	1.044838745
56	0.4571896764	1.044267387
57	0.4571896764	1.043870623
58	0.4571896764	1.043514029
59	0.4571896764	1.043065291
60	0.4580090127	1.042671284
61	0.458828349	1.041957744
62	0.4596476854	1.041553458
63	0.4596476854	1.040981787
64	0.458828349	1.040766164
65	0.4604670217	1.040024231
66	0.4608766899	1.039559534
67	0.4600573535	1.03902315
68	0.4596476854	1.038708378
69	0.4604670217	1.038245668
70	0.4600573535	1.037833729
71	0.4604670217	1.037565765
72	0.4600573535	1.037286877
73	0.458828349	1.036677536
74	0.4596476854	1.0362728
75	0.4596476854	1.03581898
76	0.4592380172	1.035369638
77	0.4592380172	1.035035802
78	0.4600573535	1.03452767
79	0.4596476854	1.034241046
80	0.4596476854	1.033887281
81	0.4596476854	1.033345859
82	0.4592380172	1.033125147
83	0.458828349	1.032848062
84	0.4596476854	1.032310976
85	0.4592380172	1.031876278
86	0.4596476854	1.031533443
87	0.4600573535	1.031128093
88	0.4600573535	1.03088027
89	0.4604670217	1.030732762
90	0.4604670217	1.030326957
91	0.4608766899	1.030090818
92	0.4604670217	1.029494586
93	0.4604670217	1.029053287
94	0.4608766899	1.028784891
95	0.4600573535	1.028415622
96	0.4600573535	1.02800946
97	0.461286358	1.027535162
98	0.461286358	1.027021614
99	0.461286358	1.026599331
100	0.461286358	1.026164485
101	0.4616960262	1.025627291
102	0.4621056944	1.025215409
103	0.4621056944	1.02493538
104	0.4625153626	1.024673934
105	0.4625153626	1.024375658
106	0.4629250307	1.024056454
107	0.4633346989	1.023686856
108	0.4629250307	1.023149307
109	0.4637443671	1.022818268
110	0.4641540352	1.022582388
111	0.4645637034	1.02226749
112	0.4649733716	1.021915587
113	0.4649733716	1.021646607
114	0.4657927079	1.021056797
115	0.4657927079	1.020760025
116	0.4666120442	1.020402252
117	0.4666120442	1.020182297
118	0.4666120442	1.019764022
119	0.4670217124	1.01928459
120	0.4674313806	1.018898476
121	0.4674313806	1.018694553
122	0.4674313806	1.018377701
123	0.4674313806	1.018130816
124	0.4670217124	1.017894306
125	0.4678410488	1.017571883
126	0.4694797214	1.01711301
127	0.4694797214	1.016548219
128	0.4702990578	1.015980333
129	0.4719377304	1.015473518
130	0.4731667349	1.01525243
131	0.4743957395	1.014914579
132	0.475624744	1.014529126
133	0.4760344121	1.014093746
134	0.4768537485	1.013690655
135	0.478082753	1.013481686
136	0.478082753	1.013231996
137	0.4784924211	1.012817044
138	0.4789020893	1.012547815
139	0.4797214256	1.012199376
140	0.4789020893	1.01179929
141	0.4801310938	1.011396385
142	0.4801310938	1.010941839
143	0.4797214256	1.010693522
144	0.480540762	1.010279127
145	0.480540762	1.010181915
146	0.4809504302	1.009857064
147	0.4813600983	1.009621155
148	0.4821794347	1.009216208
149	0.4821794347	1.008950322
150	0.4821794347	1.008671114
151	0.4821794347	1.008377661
152	0.4825891028	1.008068301
153	0.482998771	1.00783832
154	0.4838181073	1.007597343
155	0.4834084392	1.007277235
156	0.4834084392	1.006925192
157	0.4838181073	1.006691221
158	0.48545678	1.006414113
159	0.48545678	1.005919653
160	0.48545678	1.005685651
161	0.4870954527	1.005533683
162	0.4866857845	1.005254359
163	0.487914789	1.004846443
164	0.4883244572	1.004566006
165	0.4883244572	1.004286036
166	0.4887341254	1.003990271
167	0.4887341254	1.003748979
168	0.4883244572	1.003659664
169	0.4899631299	1.003169792
