iter	Accuracy	MultiClass
0	0.4618852459	1.096228344
1	0.4635245902	1.094066265
2	0.4614754098	1.092456548
3	0.4614754098	1.090513602
4	0.4610655738	1.088897816
5	0.4569672131	1.08754819
6	0.456557377	1.085766615
7	0.4524590164	1.084204774
8	0.4491803279	1.082460448
9	0.4487704918	1.080740525
10	0.4479508197	1.079428077
11	0.4459016393	1.078116652
12	0.4442622951	1.076701882
13	0.4467213115	1.075225357
14	0.4446721311	1.074083256
15	0.4442622951	1.072840012
16	0.4479508197	1.071358287
17	0.4569672131	1.069994101
18	0.4594262295	1.068855187
19	0.4643442623	1.067536236
20	0.4655737705	1.066445251
21	0.4655737705	1.06539035
22	0.4631147541	1.064376368
23	0.4655737705	1.063053597
24	0.4663934426	1.061893525
25	0.4663934426	1.061259527
26	0.4659836066	1.060383025
27	0.4643442623	1.059423968
28	0.4643442623	1.058611887
29	0.4639344262	1.057683612
30	0.4655737705	1.056767248
31	0.4655737705	1.055857854
32	0.4647540984	1.054950169
33	0.4655737705	1.054418358
34	0.4663934426	1.053602553
35	0.4659836066	1.052881208
36	0.4659836066	1.052219342
37	0.4672131148	1.051532568
38	0.4655737705	1.050968203
39	0.4655737705	1.050415098
40	0.4651639344	1.049643144
41	0.4655737705	1.048923731
42	0.4655737705	1.048349547
43	0.4643442623	1.047718618
44	0.4639344262	1.047176937
45	0.4635245902	1.046531131
46	0.462704918	1.045918428
47	0.4635245902	1.045280063
48	0.4631147541	1.044742672
49	0.462704918	1.044084043
50	0.462704918	1.043667167
51	0.4631147541	1.043020376
52	0.4631147541	1.042697759
53	0.4631147541	1.042173434
54	0.462704918	1.041755292
55	0.462704918	1.041217872
56	0.462704918	1.040707068
57	0.4631147541	1.040125392
58	0.4631147541	1.03977618
59	0.462704918	1.039418746
60	0.4631147541	1.038771101
61	0.462295082	1.038239596
62	0.4639344262	1.037745143
63	0.4643442623	1.037230956
64	0.4647540984	1.036743112
65	0.4647540984	1.036442652
66	0.4643442623	1.035906789
67	0.4647540984	1.035351046
68	0.4651639344	1.034979953
69	0.4643442623	1.034490961
70	0.4643442623	1.034087518
71	0.4643442623	1.033471062
72	0.4647540984	1.033017872
73	0.4647540984	1.032334287
74	0.4651639344	1.031891553
75	0.4643442623	1.031379911
76	0.4651639344	1.030846901
77	0.4647540984	1.030492975
78	0.4651639344	1.030076906
79	0.4647540984	1.029432462
80	0.4647540984	1.029046483
81	0.4651639344	1.028560318
82	0.4655737705	1.028136033
83	0.4663934426	1.027840832
84	0.4659836066	1.027203774
85	0.4655737705	1.026848337
86	0.4647540984	1.026416382
87	0.4680327869	1.025844153
88	0.4680327869	1.025529997
89	0.4692622951	1.025309023
90	0.468852459	1.024709708
91	0.468442623	1.024336065
92	0.4692622951	1.023900157
93	0.468442623	1.023385488
94	0.468442623	1.0230145
95	0.468852459	1.02275217
96	0.468852459	1.022360187
97	0.4696721311	1.021977175
98	0.4704918033	1.021332347
99	0.4704918033	1.021024058
100	0.4709016393	1.020673287
101	0.4709016393	1.020069613
102	0.4713114754	1.019744344
103	0.4713114754	1.019471212
104	0.4725409836	1.019258767
105	0.4729508197	1.018881845
106	0.4729508197	1.018656868
107	0.4729508197	1.018351942
108	0.4721311475	1.017712977
109	0.4725409836	1.017458178
110	0.4737704918	1.016775958
111	0.4737704918	1.016299911
112	0.4733606557	1.016092935
113	0.4737704918	1.015734883
114	0.4725409836	1.015479392
115	0.4741803279	1.015156733
116	0.475	1.014665483
117	0.4754098361	1.014606039
118	0.4754098361	1.014175616
119	0.4758196721	1.013803346
120	0.4745901639	1.013443245
121	0.4758196721	1.013094491
122	0.4758196721	1.012936557
123	0.4754098361	1.012543311
124	0.4754098361	1.012217014
125	0.4766393443	1.011778146
126	0.4782786885	1.011420097
127	0.4795081967	1.011193934
128	0.4799180328	1.010780811
129	0.4807377049	1.010295534
130	0.4803278689	1.010131172
131	0.481147541	1.009795767
132	0.481557377	1.009523084
133	0.4819672131	1.009155227
134	0.481557377	1.008736867
135	0.4836065574	1.008400748
136	0.4840163934	1.008160877
137	0.4836065574	1.007599692
138	0.4844262295	1.007307027
139	0.4848360656	1.007056767
140	0.4860655738	1.006736779
141	0.4864754098	1.006558287
142	0.4868852459	1.006158323
143	0.4881147541	1.005834202
144	0.4885245902	1.005462278
145	0.4889344262	1.005104134
146	0.4889344262	1.004593727
147	0.4893442623	1.004368601
148	0.4893442623	1.00401109
149	0.4893442623	1.00381274
150	0.4897540984	1.003418789
151	0.4889344262	1.0031214
152	0.4901639344	1.002672024
153	0.4905737705	1.002433798
154	0.4905737705	1.002248862
155	0.4901639344	1.001773537
156	0.4905737705	1.001410789
157	0.4905737705	1.001256335
158	0.4905737705	1.001005912
159	0.4909836066	1.000774872
160	0.4913934426	1.000511437
161	0.4918032787	1.000316686
162	0.4922131148	1.000031805
163	0.4930327869	0.9997986986
164	0.4942622951	0.9995593424
165	0.493852459	0.9993896113
166	0.493852459	0.9989620948
167	0.4942622951	0.9985357252
168	0.4942622951	0.9982406161
169	0.4942622951	0.9980185153
170	0.4946721311	0.9975242525
171	0.4950819672	0.9973207242
172	0.4950819672	0.9969467331
173	0.4954918033	0.9966297371
174	0.4950819672	0.996433345
175	0.4959016393	0.996165909
176	0.4950819672	0.995998198
177	0.4963114754	0.9956466522
178	0.4967213115	0.995259629
179	0.4959016393	0.9949249538
180	0.4975409836	0.9944576382
181	0.4979508197	0.9942435558
182	0.5	0.9937800279
183	0.5	0.9933960735
184	0.5008196721	0.9931420956
185	0.5024590164	0.9926618562
186	0.5024590164	0.9923852186
187	0.5020491803	0.9920997799
188	0.5024590164	0.9918083048
189	0.5028688525	0.9917115896
190	0.5028688525	0.9914099139
191	0.5024590164	0.9910609737
192	0.5032786885	0.9906812805
193	0.5045081967	0.9901632699
194	0.5036885246	0.989689628
195	0.5036885246	0.9894662012
196	0.5049180328	0.9890509422
197	0.5045081967	0.9886310074
198	0.5045081967	0.9883141214
199	0.5040983607	0.9879680303
200	0.5049180328	0.9874527973
201	0.5049180328	0.9872837296
202	0.5049180328	0.9869800307
203	0.5049180328	0.9867682039
204	0.5053278689	0.9866305584
205	0.5069672131	0.9860597602
206	0.5069672131	0.9857012397
207	0.506557377	0.9854682285
208	0.506147541	0.9850879339
209	0.506557377	0.9848756392
210	0.506557377	0.98468857
211	0.5069672131	0.9841920628
212	0.5077868852	0.983917242
213	0.5069672131	0.9836617565
214	0.5069672131	0.9834516178
215	0.5069672131	0.9831623087
216	0.5069672131	0.9830369804
217	0.5077868852	0.9828111845
218	0.5090163934	0.9824900119
219	0.5086065574	0.9819712255
220	0.5098360656	0.98163469
221	0.5102459016	0.9814194092
222	0.5098360656	0.9811426226
223	0.5102459016	0.9809547605
224	0.5102459016	0.9807142811
225	0.5110655738	0.9803792285
226	0.5106557377	0.980119168
227	0.5106557377	0.9796774453
228	0.5135245902	0.9792905417
229	0.5139344262	0.978957434
230	0.5143442623	0.9786817368
231	0.5139344262	0.9785061413
232	0.5143442623	0.978116481
233	0.5143442623	0.9778982243
234	0.5135245902	0.9774863618
235	0.5131147541	0.9771858342
236	0.5139344262	0.9770191801
237	0.5147540984	0.9766990057
238	0.5159836066	0.9764954806
239	0.5155737705	0.9762348907
240	0.5155737705	0.9757785035
241	0.5176229508	0.9753710397
242	0.5172131148	0.9749382636
243	0.5180327869	0.974608989
244	0.5192622951	0.9738139089
245	0.518852459	0.973522475
246	0.518442623	0.9733358402
247	0.5192622951	0.9730618106
248	0.5176229508	0.9729485806
249	0.5176229508	0.9727030859
250	0.518442623	0.9724620724
251	0.518852459	0.9721302406
252	0.5204918033	0.9717655905
253	0.5204918033	0.9714681999
254	0.5209016393	0.9712522215
255	0.5221311475	0.9709803031
256	0.5217213115	0.9705823861
257	0.5217213115	0.9703467383
258	0.5217213115	0.9700664097
259	0.5213114754	0.9698573306
260	0.5217213115	0.9696227036
261	0.5229508197	0.9693344005
262	0.5225409836	0.9690599533
263	0.5217213115	0.9686828666
264	0.5221311475	0.968309295
265	0.5233606557	0.9680163425
266	0.5233606557	0.9677447187
267	0.5237704918	0.9674356862
268	0.5241803279	0.9671042009
269	0.5237704918	0.9668210826
270	0.5258196721	0.9663559974
271	0.5245901639	0.9660938714
272	0.525	0.9658868214
273	0.5262295082	0.9654713899
274	0.5266393443	0.965142656
275	0.5266393443	0.9648642798
276	0.5266393443	0.964361249
277	0.5262295082	0.9638997752
278	0.5274590164	0.9635194897
279	0.5290983607	0.9631194489
280	0.5290983607	0.9628438165
281	0.5295081967	0.962454057
282	0.5307377049	0.9621791746
283	0.5303278689	0.9619046639
284	0.5307377049	0.9616149945
285	0.531557377	0.9613637325
286	0.531557377	0.9611478716
287	0.5319672131	0.9608681755
288	0.5323770492	0.960615186
289	0.5327868852	0.9603805258
290	0.5331967213	0.9599552882
291	0.5336065574	0.9595645669
292	0.5336065574	0.9592666582
293	0.5340163934	0.9590095985
294	0.5336065574	0.9584849744
295	0.5348360656	0.9580576009
296	0.5352459016	0.9578947683
297	0.5348360656	0.9573799565
298	0.5356557377	0.9570447851
299	0.5360655738	0.9567051489
300	0.5360655738	0.9565026142
301	0.5364754098	0.956175425
302	0.537704918	0.9558391935
303	0.537295082	0.9556573436
304	0.5401639344	0.9551238667
305	0.5401639344	0.9546809813
306	0.5413934426	0.9543855747
307	0.5409836066	0.9539311009
308	0.5409836066	0.9536292555
309	0.5413934426	0.9530101937
310	0.5405737705	0.9526727528
311	0.5418032787	0.9523194638
312	0.5442622951	0.9518580643
313	0.543442623	0.9515248093
314	0.543442623	0.9512263705
315	0.543852459	0.9509512595
316	0.5454918033	0.9503012058
317	0.5467213115	0.9498704422
318	0.5471311475	0.9494666506
319	0.5467213115	0.9491624478
320	0.5471311475	0.9489072128
321	0.5479508197	0.9484781036
322	0.5471311475	0.9480958403
323	0.5475409836	0.9476787616
324	0.5471311475	0.947382943
325	0.5479508197	0.9471323268
326	0.5479508197	0.9468912252
327	0.5483606557	0.9463660957
328	0.5483606557	0.9460817534
329	0.5483606557	0.9456748853
330	0.5487704918	0.9453367514
331	0.5487704918	0.945102418
332	0.5487704918	0.944578446
333	0.5495901639	0.944097482
334	0.5504098361	0.9437932616
335	0.5516393443	0.943542352
336	0.5528688525	0.9431299318
337	0.5545081967	0.9427148122
338	0.5553278689	0.9423688498
339	0.5553278689	0.9417842321
340	0.5553278689	0.9415135566
341	0.556147541	0.941062021
342	0.5569672131	0.9407640022
343	0.5573770492	0.9404751335
344	0.5573770492	0.9399228289
345	0.5586065574	0.9395768897
346	0.5598360656	0.9391344805
347	0.5598360656	0.9388197079
348	0.5594262295	0.9384364344
349	0.5602459016	0.9382154658
350	0.5602459016	0.9379226987
351	0.5606557377	0.9375241387
352	0.5610655738	0.9369464453
353	0.5606557377	0.936563634
354	0.5606557377	0.9362912192
355	0.5614754098	0.9359667057
356	0.5635245902	0.935543891
357	0.562704918	0.9350874155
358	0.5639344262	0.9348335407
359	0.5635245902	0.9342248175
360	0.5651639344	0.9339138994
361	0.5651639344	0.9335525725
362	0.5651639344	0.933120012
