iter	Passed	Remaining
0	8	7717
1	14	6705
2	19	6047
3	26	6102
4	30	5624
5	34	5376
6	39	5207
7	43	5005
8	48	4920
9	52	4869
10	58	4926
11	63	4826
12	66	4704
13	70	4607
14	74	4527
15	78	4460
16	81	4374
17	85	4324
18	89	4270
19	92	4205
20	95	4155
21	99	4103
22	103	4063
23	106	4022
24	110	3988
25	113	3962
26	118	3969
27	122	3937
28	125	3913
29	130	3919
30	134	3901
31	138	3886
32	142	3870
33	146	3847
34	150	3846
35	154	3839
36	158	3835
37	161	3800
38	164	3766
39	168	3760
40	172	3739
41	176	3732
42	180	3724
43	184	3709
44	187	3685
45	191	3670
46	194	3657
47	198	3642
48	202	3643
49	206	3632
50	210	3627
51	213	3611
52	217	3594
53	220	3583
54	224	3568
55	228	3571
56	232	3565
57	236	3559
58	240	3556
59	245	3553
60	248	3538
61	251	3527
62	255	3522
63	259	3516
64	263	3507
65	267	3496
66	271	3501
67	276	3504
68	280	3500
69	284	3492
70	288	3496
71	292	3487
72	296	3475
73	299	3465
74	302	3451
75	307	3451
76	310	3441
77	314	3434
78	317	3423
79	321	3419
80	325	3413
81	329	3405
82	333	3399
83	337	3403
84	341	3390
85	344	3384
86	349	3383
87	353	3380
88	356	3373
89	360	3363
90	364	3356
91	368	3360
92	373	3361
93	377	3356
94	381	3355
95	384	3343
96	389	3342
97	392	3336
98	396	3329
99	399	3317
100	403	3312
101	407	3309
102	411	3302
103	415	3297
104	419	3299
105	423	3294
106	427	3288
107	431	3286
108	436	3285
109	439	3275
110	443	3269
111	447	3265
112	455	3292
113	464	3325
114	474	3361
115	478	3359
116	484	3364
117	488	3359
118	491	3350
119	495	3343
120	500	3346
121	505	3344
122	509	3343
123	516	3358
124	520	3354
125	524	3348
126	529	3350
127	534	3348
128	538	3346
129	543	3344
130	548	3347
131	553	3345
132	558	3344
133	562	3341
134	567	3342
135	573	3346
136	577	3345
137	582	3341
138	586	3336
139	591	3336
140	595	3332
141	600	3334
142	605	3330
143	610	3333
144	615	3329
145	619	3327
146	623	3321
147	627	3314
148	631	3312
149	635	3306
150	639	3300
151	644	3296
152	647	3290
153	651	3283
154	656	3280
155	660	3276
156	664	3273
157	668	3268
158	673	3266
159	678	3266
160	683	3264
161	687	3259
162	692	3258
163	698	3260
164	702	3258
165	709	3265
166	713	3260
167	719	3261
168	726	3270
169	732	3273
170	736	3268
171	742	3270
172	746	3266
173	752	3270
174	758	3273
175	763	3269
176	766	3262
177	771	3257
178	776	3258
179	780	3253
180	785	3250
181	791	3251
182	795	3247
183	801	3248
184	806	3247
185	810	3240
186	814	3235
187	818	3230
188	823	3229
189	827	3224
190	832	3222
191	836	3216
192	840	3210
193	846	3211
194	852	3214
195	857	3211
196	861	3206
197	866	3203
198	871	3199
199	874	3193
200	879	3190
201	883	3184
202	888	3181
203	892	3176
204	896	3171
205	901	3167
206	905	3162
207	909	3157
208	914	3153
209	919	3150
210	922	3145
211	927	3139
212	930	3133
213	934	3127
214	939	3122
215	944	3120
216	949	3119
217	955	3119
218	960	3117
219	964	3112
220	968	3108
221	972	3100
222	977	3099
223	982	3097
224	988	3096
225	992	3093
226	998	3091
227	1002	3088
228	1007	3083
229	1011	3078
230	1015	3073
231	1019	3068
232	1023	3063
233	1028	3059
234	1033	3056
235	1037	3050
236	1042	3048
237	1046	3044
238	1055	3053
239	1063	3057
240	1070	3059
241	1075	3058
242	1080	3054
243	1084	3049
244	1088	3044
245	1092	3038
246	1097	3035
247	1103	3033
248	1107	3027
249	1111	3022
250	1115	3018
251	1121	3016
252	1124	3010
253	1128	3004
254	1132	2998
255	1136	2991
256	1141	2988
257	1145	2984
258	1149	2977
259	1154	2974
260	1158	2969
261	1164	2968
262	1168	2964
263	1174	2963
264	1179	2960
265	1183	2954
266	1188	2950
267	1192	2946
268	1198	2943
269	1201	2938
270	1206	2934
271	1213	2934
272	1216	2927
273	1220	2922
274	1224	2917
275	1228	2911
276	1232	2905
277	1235	2897
278	1241	2895
279	1244	2888
280	1248	2883
281	1252	2879
282	1257	2875
283	1263	2873
284	1266	2867
285	1271	2863
286	1275	2858
287	1280	2853
288	1284	2849
289	1290	2847
290	1294	2842
291	1298	2836
292	1301	2830
293	1308	2830
294	1312	2826
295	1316	2820
296	1321	2815
297	1326	2814
298	1332	2811
299	1336	2807
300	1341	2802
301	1345	2797
302	1349	2791
303	1353	2787
304	1357	2782
305	1361	2777
306	1365	2771
307	1369	2765
308	1374	2762
309	1378	2757
310	1382	2751
311	1386	2746
312	1390	2741
313	1394	2735
314	1399	2732
315	1404	2728
316	1408	2723
317	1412	2719
318	1417	2715
319	1422	2712
320	1426	2706
321	1431	2702
322	1434	2696
323	1439	2691
324	1443	2686
325	1447	2681
326	1453	2679
327	1456	2673
328	1460	2667
329	1464	2662
330	1469	2659
331	1473	2654
332	1477	2648
333	1482	2645
334	1488	2642
335	1492	2637
336	1496	2633
337	1500	2628
338	1504	2622
339	1508	2617
340	1512	2613
341	1516	2607
342	1520	2602
343	1525	2598
344	1530	2595
345	1536	2592
346	1541	2590
347	1546	2586
348	1550	2581
349	1555	2577
350	1559	2572
351	1563	2566
352	1568	2563
353	1572	2558
354	1576	2552
355	1580	2548
356	1584	2543
357	1589	2540
358	1594	2536
359	1600	2534
360	1604	2528
361	1608	2523
362	1612	2519
363	1616	2513
364	1621	2509
365	1625	2504
366	1629	2499
367	1632	2493
368	1637	2489
369	1641	2483
370	1645	2478
371	1649	2474
372	1654	2470
373	1659	2467
374	1664	2463
375	1668	2458
376	1680	2465
377	1690	2469
378	1696	2466
379	1699	2460
380	1703	2454
381	1707	2450
382	1711	2444
383	1715	2438
384	1719	2434
385	1723	2428
386	1727	2423
387	1731	2418
388	1734	2412
389	1738	2407
390	1742	2401
391	1746	2396
392	1750	2391
393	1755	2387
