iter	Accuracy	MultiClass
0	0.4442622951	1.096819881
1	0.4426229508	1.094781668
2	0.4401639344	1.093232954
3	0.4401639344	1.091475439
4	0.4413934426	1.089674288
5	0.4389344262	1.088391752
6	0.4479508197	1.086653798
7	0.4442622951	1.085179893
8	0.456557377	1.0834625
9	0.4553278689	1.081946289
10	0.4524590164	1.080703731
11	0.4483606557	1.0792893
12	0.4475409836	1.077913295
13	0.4495901639	1.07660418
14	0.4545081967	1.075314381
15	0.4532786885	1.0741926
16	0.4545081967	1.072890762
17	0.4594262295	1.071711972
18	0.4598360656	1.070539954
19	0.4590163934	1.069227312
20	0.4590163934	1.068092063
21	0.4598360656	1.067074523
22	0.4577868852	1.066138386
23	0.456557377	1.065045617
24	0.4581967213	1.064139872
25	0.456147541	1.063506436
26	0.4557377049	1.062537013
27	0.456557377	1.06150205
28	0.456557377	1.060676342
29	0.4573770492	1.059665928
30	0.4581967213	1.059008451
31	0.4581967213	1.058006496
32	0.456557377	1.057255593
33	0.456557377	1.056279308
34	0.4573770492	1.055457192
35	0.4581967213	1.054893163
36	0.4581967213	1.054132707
37	0.4577868852	1.053573739
38	0.4577868852	1.052972013
39	0.4569672131	1.052515334
40	0.4581967213	1.051939744
41	0.4586065574	1.051313767
42	0.4581967213	1.050782639
43	0.4581967213	1.050221576
44	0.4581967213	1.049682923
45	0.4586065574	1.048965454
46	0.4581967213	1.048624388
47	0.4586065574	1.047961177
48	0.4586065574	1.047427598
49	0.4586065574	1.046877634
50	0.4577868852	1.046404022
51	0.4577868852	1.045820288
52	0.4577868852	1.045460282
53	0.4577868852	1.045035339
54	0.4586065574	1.044700278
55	0.4586065574	1.044328287
56	0.4594262295	1.043778792
57	0.4590163934	1.043358274
58	0.4594262295	1.042982181
59	0.4590163934	1.042665939
60	0.4590163934	1.042269577
61	0.4590163934	1.041748254
62	0.4590163934	1.041137246
63	0.4586065574	1.040529674
64	0.4581967213	1.040166075
65	0.4573770492	1.039657544
66	0.4586065574	1.039337768
67	0.4577868852	1.03889766
68	0.4569672131	1.038306902
69	0.4569672131	1.037742906
70	0.4573770492	1.037432153
71	0.4573770492	1.037119912
72	0.4569672131	1.03680673
73	0.4586065574	1.036402672
74	0.4586065574	1.036080173
75	0.4586065574	1.035603573
76	0.4586065574	1.035060855
77	0.4598360656	1.034730133
78	0.4610655738	1.034131566
79	0.4598360656	1.033712742
80	0.4598360656	1.033385694
81	0.4602459016	1.033060373
82	0.4614754098	1.032752884
83	0.4618852459	1.032258811
84	0.4631147541	1.031655303
85	0.462295082	1.031231919
86	0.4631147541	1.030769365
87	0.4631147541	1.030290165
88	0.462704918	1.030071867
89	0.4639344262	1.029751958
