iter	Passed	Remaining
0	4	4619
1	8	4015
2	12	3806
3	16	3759
4	20	3752
5	23	3662
6	27	3608
7	30	3550
8	34	3514
9	37	3483
10	41	3465
11	45	3447
12	48	3424
13	51	3401
14	55	3377
15	60	3483
16	64	3476
17	69	3502
18	73	3541
19	77	3539
20	81	3516
21	85	3519
22	89	3510
23	94	3556
24	99	3591
25	102	3579
26	107	3584
27	111	3581
28	115	3578
29	119	3598
30	123	3587
31	127	3580
32	130	3559
33	134	3544
34	138	3538
35	142	3528
36	146	3524
37	149	3520
38	153	3515
39	157	3510
40	163	3550
41	167	3548
42	172	3558
43	177	3569
44	181	3565
45	186	3585
46	191	3593
47	195	3583
48	199	3582
49	204	3602
50	207	3576
51	210	3550
52	213	3531
53	217	3520
54	220	3506
55	224	3497
56	227	3490
57	231	3482
58	235	3476
59	239	3468
60	243	3466
61	247	3460
62	251	3458
63	254	3445
64	257	3427
65	260	3416
66	264	3409
67	268	3398
68	271	3393
69	275	3380
70	279	3376
71	282	3370
72	286	3363
73	290	3359
74	294	3359
75	298	3349
76	301	3342
77	305	3332
78	309	3339
79	314	3338
80	318	3334
81	322	3330
82	325	3320
83	329	3314
84	333	3315
85	337	3316
86	341	3312
87	345	3309
88	349	3303
89	353	3303
90	357	3296
91	361	3291
92	364	3280
93	369	3282
94	373	3286
95	378	3289
96	382	3284
97	386	3282
98	390	3277
99	394	3271
100	397	3264
101	402	3267
102	406	3266
103	411	3264
104	415	3264
105	418	3256
106	422	3253
107	426	3248
108	430	3243
109	434	3237
110	438	3233
111	441	3222
112	444	3214
113	447	3206
114	451	3196
115	454	3187
116	457	3182
117	460	3170
118	463	3161
119	467	3154
120	470	3144
121	474	3143
122	478	3140
123	481	3132
124	485	3125
125	489	3125
126	492	3116
127	496	3113
128	500	3107
129	504	3105
130	509	3109
131	513	3105
132	517	3101
133	521	3100
134	526	3100
135	530	3099
136	534	3095
137	538	3092
138	542	3087
139	547	3087
140	551	3085
141	555	3083
142	559	3078
143	562	3070
144	566	3065
145	570	3062
146	573	3056
147	577	3050
148	581	3046
149	586	3051
150	591	3053
151	596	3050
152	600	3050
153	606	3054
154	611	3059
155	618	3068
156	624	3075
157	630	3083
158	634	3078
159	640	3083
160	644	3079
161	648	3076
162	653	3076
163	658	3074
164	663	3074
165	677	3117
166	682	3120
167	687	3120
168	692	3116
169	696	3115
170	702	3117
171	705	3110
172	710	3107
173	715	3110
174	721	3113
175	725	3107
176	729	3103
177	733	3099
178	737	3095
179	741	3089
180	745	3084
181	749	3080
182	753	3076
183	757	3070
184	761	3065
185	765	3062
186	769	3058
187	773	3053
188	778	3054
189	782	3049
190	787	3046
191	792	3047
192	798	3047
193	804	3051
194	809	3050
195	813	3045
196	816	3039
197	820	3033
198	824	3030
199	828	3024
200	832	3020
201	837	3016
202	841	3012
203	845	3009
204	849	3004
205	854	3002
206	858	2997
207	862	2993
208	866	2988
209	869	2982
210	873	2975
211	877	2971
212	881	2966
213	884	2960
214	888	2954
215	892	2948
216	896	2945
217	900	2940
218	904	2935
219	908	2930
220	912	2925
221	916	2921
222	921	2921
223	925	2916
224	929	2912
225	933	2909
226	941	2915
227	946	2914
228	952	2915
229	957	2913
230	961	2908
231	964	2902
232	968	2896
233	971	2890
234	976	2889
235	981	2885
236	985	2880
237	990	2879
238	994	2875
239	998	2870
240	1002	2865
241	1006	2860
242	1010	2857
243	1015	2854
244	1018	2848
245	1022	2842
246	1025	2835
247	1030	2832
248	1034	2828
249	1038	2824
250	1041	2818
251	1045	2814
252	1050	2812
253	1054	2807
254	1059	2805
255	1063	2800
256	1068	2798
257	1073	2794
258	1077	2791
259	1081	2786
260	1085	2783
261	1090	2779
262	1094	2776
263	1099	2773
264	1104	2770
265	1108	2767
266	1113	2763
267	1116	2757
268	1120	2752
269	1124	2748
270	1127	2742
271	1132	2738
272	1137	2737
273	1141	2732
274	1145	2728
275	1149	2724
276	1155	2722
277	1159	2720
278	1164	2716
279	1169	2714
280	1174	2713
281	1179	2709
282	1183	2705
283	1187	2700
284	1190	2695
285	1194	2689
286	1198	2685
287	1204	2684
288	1208	2679
289	1213	2677
290	1218	2674
291	1222	2671
292	1229	2672
293	1233	2668
294	1237	2664
295	1241	2659
296	1245	2654
297	1249	2649
298	1256	2650
299	1268	2663
300	1280	2676
301	1287	2676
302	1291	2672
303	1295	2668
304	1301	2666
305	1305	2661
306	1309	2657
