iter	Accuracy	MultiClass
0	0.4405737705	1.096973844
1	0.4430327869	1.09490076
2	0.4401639344	1.093331416
3	0.4401639344	1.091648762
4	0.4524590164	1.089701194
5	0.4475409836	1.088301877
6	0.4557377049	1.086241808
7	0.4524590164	1.084515844
8	0.4569672131	1.082767739
9	0.4545081967	1.081254728
10	0.4553278689	1.079787522
11	0.4573770492	1.078366394
12	0.4586065574	1.077000509
13	0.4577868852	1.075655064
14	0.4569672131	1.074421258
15	0.456557377	1.073261126
16	0.4557377049	1.072094127
17	0.4557377049	1.071076091
18	0.4557377049	1.06991863
19	0.456147541	1.068709982
20	0.4557377049	1.06791713
21	0.456147541	1.066944304
22	0.4557377049	1.065958765
23	0.456557377	1.064913068
24	0.456147541	1.064166862
25	0.456147541	1.063218228
26	0.4569672131	1.062168613
27	0.4569672131	1.06136571
28	0.4569672131	1.060576961
29	0.456557377	1.059651674
30	0.456557377	1.05878339
31	0.4581967213	1.057878198
32	0.4569672131	1.057136471
33	0.4581967213	1.056163106
34	0.4586065574	1.055274264
35	0.4586065574	1.054720344
36	0.4586065574	1.053796627
37	0.4586065574	1.053280248
38	0.4586065574	1.052727101
39	0.4590163934	1.052292563
40	0.4586065574	1.051663887
41	0.4586065574	1.051113002
42	0.4586065574	1.050412686
43	0.4586065574	1.049892866
44	0.4594262295	1.049237747
45	0.4590163934	1.048487542
46	0.4594262295	1.047951588
47	0.4598360656	1.047187701
48	0.4602459016	1.046749298
49	0.4594262295	1.046227516
50	0.4594262295	1.045757942
51	0.4594262295	1.045250141
52	0.4594262295	1.044852358
53	0.4586065574	1.044345591
54	0.4581967213	1.043810768
55	0.4586065574	1.043306592
56	0.4590163934	1.042577304
57	0.4590163934	1.042054989
58	0.4586065574	1.041880258
59	0.4586065574	1.041429543
60	0.4586065574	1.040933649
61	0.4586065574	1.040445548
62	0.4586065574	1.039977181
63	0.4590163934	1.039488856
64	0.4598360656	1.039009648
65	0.4602459016	1.038598514
66	0.4610655738	1.038095039
67	0.4610655738	1.037586806
68	0.4602459016	1.037096708
69	0.4598360656	1.036761801
70	0.4598360656	1.036543223
71	0.4598360656	1.035997614
72	0.4598360656	1.03572573
73	0.4610655738	1.035153735
74	0.4614754098	1.034787756
75	0.4610655738	1.034368812
76	0.4614754098	1.034126061
77	0.4610655738	1.033842244
78	0.4614754098	1.033438532
79	0.4618852459	1.033108254
80	0.4618852459	1.032770482
81	0.462295082	1.032411052
82	0.462295082	1.031982922
83	0.4631147541	1.031629298
84	0.462704918	1.030985096
85	0.4618852459	1.030584565
86	0.4618852459	1.030249049
87	0.4631147541	1.02981858
88	0.4631147541	1.029574882
89	0.462704918	1.029256263
