iter	Accuracy	MultiClass
0	0.4433962264	1.096553371
1	0.4491239892	1.094547743
2	0.4410377358	1.092954144
3	0.4386792453	1.091395759
4	0.4474393531	1.089461265
5	0.4440700809	1.08793449
6	0.4420485175	1.086251232
7	0.4393530997	1.084825665
8	0.4383423181	1.083462272
9	0.4437331536	1.081938968
10	0.4403638814	1.08060084
11	0.4410377358	1.079185652
12	0.4386792453	1.078033851
13	0.4410377358	1.076796787
14	0.4484501348	1.075422422
15	0.4467654987	1.074172652
16	0.4437331536	1.073151639
17	0.4521563342	1.071654447
18	0.451819407	1.0707404
19	0.4545148248	1.069601859
20	0.4538409704	1.068512168
21	0.4531671159	1.067556523
22	0.4528301887	1.06655638
23	0.4521563342	1.065701929
24	0.4528301887	1.064974072
25	0.4524932615	1.064309036
26	0.4531671159	1.063397075
27	0.4524932615	1.062648513
28	0.4531671159	1.061974164
29	0.4528301887	1.061516369
30	0.4524932615	1.060906205
31	0.4528301887	1.060002379
32	0.4538409704	1.059472599
33	0.4538409704	1.058891017
34	0.4538409704	1.058153635
35	0.4545148248	1.057725436
36	0.4545148248	1.057037803
37	0.4541778976	1.056330221
38	0.4545148248	1.055932089
39	0.4541778976	1.055406039
40	0.4538409704	1.05497054
41	0.4538409704	1.054424428
42	0.4541778976	1.053806998
43	0.4545148248	1.053043403
44	0.4545148248	1.052534767
45	0.4545148248	1.052167809
46	0.454851752	1.051696441
47	0.4545148248	1.051377323
48	0.4545148248	1.0509207
49	0.4541778976	1.050605867
50	0.4551886792	1.050038799
51	0.4535040431	1.049630444
52	0.4538409704	1.049171969
53	0.4545148248	1.048658282
54	0.4535040431	1.048235105
55	0.4545148248	1.04779513
56	0.4541778976	1.047401924
57	0.4541778976	1.046975281
58	0.4551886792	1.046518415
59	0.4558625337	1.046042179
60	0.4561994609	1.045603015
61	0.4558625337	1.045178729
62	0.4572102426	1.044847508
63	0.4568733154	1.044466907
64	0.4572102426	1.044054243
65	0.4565363881	1.043724661
66	0.4572102426	1.043219147
67	0.4585579515	1.042737244
68	0.4572102426	1.042240363
69	0.4561994609	1.041935634
70	0.4558625337	1.041799811
71	0.4572102426	1.041340958
72	0.4572102426	1.041041602
73	0.4572102426	1.040748228
74	0.4585579515	1.040281124
75	0.4588948787	1.039995003
76	0.4599056604	1.039703513
