iter	Passed	Remaining
0	5	5469
1	9	4400
2	14	4403
3	19	4472
4	23	4297
5	27	4188
6	31	4128
7	34	4008
8	39	4006
9	43	4005
10	50	4239
11	58	4450
12	67	4740
13	71	4699
14	77	4707
15	80	4599
16	84	4525
17	89	4513
18	93	4472
19	97	4432
20	101	4409
21	105	4370
22	109	4315
23	112	4244
24	116	4206
25	120	4177
26	124	4151
27	127	4114
28	131	4081
29	134	4046
30	138	4018
31	141	3981
32	145	3948
33	149	3938
34	153	3917
35	157	3898
36	160	3868
37	163	3839
38	167	3818
39	170	3801
40	174	3783
41	177	3762
42	181	3749
43	185	3736
44	189	3727
45	193	3716
46	197	3703
47	200	3692
48	204	3681
49	208	3662
50	211	3650
51	215	3630
52	218	3609
53	222	3603
54	226	3597
55	229	3587
56	233	3576
57	237	3571
58	241	3561
59	245	3554
60	248	3543
61	254	3557
62	259	3573
63	263	3566
64	267	3564
65	272	3573
66	277	3571
67	281	3565
68	285	3568
69	289	3558
70	292	3537
71	296	3531
72	300	3522
73	304	3517
74	307	3507
75	311	3501
76	315	3497
77	319	3490
78	322	3475
79	326	3467
80	330	3463
81	335	3472
82	340	3472
83	344	3465
84	348	3465
85	352	3456
86	359	3484
87	371	3555
88	377	3562
89	380	3555
90	384	3549
91	388	3542
92	392	3532
93	395	3520
94	399	3509
95	403	3506
96	407	3497
97	410	3484
98	414	3482
99	418	3473
100	422	3465
101	426	3459
102	431	3462
103	436	3465
104	440	3462
105	445	3464
106	451	3469
107	454	3458
108	457	3449
109	463	3455
110	467	3452
111	472	3451
112	477	3452
113	481	3450
114	486	3449
115	490	3444
116	495	3441
117	499	3434
118	502	3426
119	506	3420
120	510	3415
121	514	3409
122	518	3405
123	523	3403
124	527	3396
125	530	3388
126	534	3378
127	538	3371
128	541	3364
129	546	3363
130	551	3361
131	554	3353
132	559	3351
133	563	3349
134	567	3339
135	572	3342
136	577	3342
137	581	3335
138	585	3333
139	590	3330
140	594	3326
141	597	3316
142	601	3310
143	606	3309
144	610	3305
145	614	3299
146	618	3294
147	622	3289
148	627	3286
149	632	3288
150	637	3287
151	641	3283
152	646	3282
153	651	3282
154	656	3280
155	661	3282
156	665	3275
157	668	3267
158	673	3266
159	678	3265
160	683	3265
161	689	3267
162	694	3266
163	698	3262
164	702	3256
165	707	3255
166	712	3255
167	716	3250
168	721	3248
169	725	3241
170	730	3244
171	736	3243
172	742	3248
173	747	3247
174	753	3249
175	757	3244
176	762	3242
177	767	3244
178	774	3247
179	781	3255
180	785	3250
181	789	3246
182	794	3241
183	799	3241
184	804	3238
185	811	3247
186	824	3277
187	834	3292
188	839	3291
189	843	3285
190	849	3286
191	854	3286
192	859	3280
193	862	3273
194	868	3274
195	872	3265
196	876	3260
197	881	3258
198	885	3251
199	888	3244
200	892	3236
201	896	3232
202	901	3227
203	905	3224
204	909	3217
205	915	3216
206	920	3214
207	925	3213
208	931	3214
209	935	3208
210	940	3203
211	944	3197
212	948	3192
213	951	3185
214	958	3187
215	963	3184
216	969	3184
217	973	3178
218	978	3175
219	982	3169
220	986	3164
221	991	3161
222	994	3154
223	998	3147
224	1003	3142
225	1007	3138
226	1010	3130
227	1014	3123
228	1018	3119
229	1022	3113
230	1026	3107
231	1031	3103
232	1036	3099
233	1041	3096
234	1044	3090
235	1049	3085
236	1053	3079
237	1057	3073
238	1060	3067
239	1064	3061
240	1069	3057
241	1073	3051
242	1077	3045
243	1081	3041
244	1087	3040
245	1091	3036
246	1096	3032
247	1100	3026
248	1106	3026
249	1111	3023
250	1115	3018
251	1120	3015
252	1125	3012
253	1129	3006
254	1133	2999
255	1137	2995
256	1141	2988
257	1145	2983
258	1149	2977
259	1154	2975
260	1158	2970
261	1162	2964
262	1166	2958
263	1169	2951
264	1174	2947
265	1178	2941
266	1182	2936
267	1187	2932
268	1190	2924
269	1194	2920
270	1199	2915
271	1203	2910
272	1207	2904
273	1211	2900
274	1215	2896
275	1219	2890
276	1223	2884
277	1228	2880
278	1231	2873
279	1236	2870
280	1240	2865
281	1244	2859
282	1248	2853
283	1253	2850
284	1257	2845
285	1261	2841
286	1266	2837
287	1270	2831
288	1274	2826
289	1278	2820
290	1281	2815
291	1285	2809
292	1289	2802
293	1292	2796
294	1296	2790
295	1300	2786
296	1304	2779
297	1308	2775
298	1315	2776
299	1328	2790
300	1336	2792
301	1340	2788
302	1345	2783
303	1349	2778
304	1352	2771
305	1356	2765
306	1359	2759
307	1363	2754
308	1368	2750
309	1372	2744
310	1375	2738
311	1380	2735
312	1384	2728
313	1387	2722
314	1391	2717
315	1395	2711
316	1399	2705
317	1403	2701
318	1407	2694
319	1412	2693
320	1417	2689
321	1421	2684
322	1426	2680
323	1430	2676
324	1434	2671
325	1439	2666
326	1444	2664
327	1450	2661
328	1454	2656
329	1458	2651
330	1462	2645
331	1466	2640
332	1469	2634
333	1473	2629
334	1477	2624
335	1481	2619
336	1485	2613
337	1488	2607
338	1492	2602
339	1496	2596
340	1499	2590
341	1504	2586
342	1508	2580
343	1512	2576
344	1516	2570
345	1519	2565
346	1524	2560
347	1528	2555
348	1531	2550
349	1535	2545
350	1539	2539
351	1543	2534
352	1548	2530
353	1551	2524
354	1555	2519
355	1559	2514
356	1562	2508
357	1566	2503
358	1570	2497
359	1573	2492
360	1577	2486
361	1580	2480
362	1585	2476
363	1589	2471
364	1592	2465
365	1596	2459
366	1600	2454
367	1604	2450
368	1608	2445
369	1611	2439
370	1616	2435
371	1620	2430
372	1624	2425
373	1628	2420
374	1632	2416
375	1636	2410
376	1640	2405
377	1644	2401
378	1647	2395
379	1651	2389
380	1654	2384
381	1659	2380
382	1662	2374
383	1666	2369
384	1670	2364
385	1674	2360
386	1678	2354
387	1681	2349
388	1685	2344
389	1689	2338
390	1693	2334
391	1696	2328
392	1700	2323
393	1704	2319
394	1708	2313
395	1712	2308
396	1716	2304
397	1720	2299
398	1723	2293
399	1727	2288
400	1730	2283
401	1734	2278
402	1738	2273
403	1744	2271
404	1748	2267
405	1752	2262
406	1756	2257
407	1760	2252
408	1764	2247
409	1768	2242
410	1772	2238
411	1776	2233
412	1781	2229
413	1784	2224
414	1788	2219
415	1792	2214
416	1796	2210
417	1800	2205
418	1803	2200
419	1807	2194
420	1811	2189
421	1814	2184
422	1818	2179
423	1821	2174
424	1825	2169
425	1829	2164
426	1833	2159
427	1836	2154
428	1840	2148
429	1844	2144
430	1848	2140
431	1852	2135
432	1857	2131
433	1867	2134
434	1874	2132
435	1878	2128
436	1882	2124
437	1886	2119
438	1889	2113
439	1893	2109
440	1897	2104
441	1901	2099
442	1906	2095
443	1910	2091
444	1914	2086
445	1917	2080
446	1921	2076
447	1925	2071
448	1929	2066
449	1933	2061
450	1936	2056
451	1940	2051
452	1943	2046
453	1947	2041
454	1951	2037
455	1956	2033
456	1959	2028
457	1962	2022
458	1967	2019
459	1972	2015
460	1976	2010
461	1980	2005
462	1984	2001
463	1988	1996
464	1991	1991
465	1995	1986
466	1999	1982
467	2002	1977
468	2006	1972
469	2009	1967
470	2013	1962
471	2017	1957
472	2021	1953
473	2025	1948
474	2028	1943
475	2032	1938
476	2035	1933
477	2040	1929
478	2044	1924
479	2048	1920
480	2053	1917
481	2059	1914
482	2063	1909
483	2066	1904
484	2071	1900
485	2074	1895
486	2078	1890
487	2082	1886
488	2086	1882
489	2091	1877
490	2095	1873
491	2098	1868
492	2101	1863
493	2105	1858
494	2108	1853
495	2112	1848
496	2116	1843
497	2120	1839
498	2123	1834
499	2127	1829
500	2131	1825
501	2135	1820
502	2140	1817
503	2150	1817
504	2161	1819
505	2167	1815
506	2171	1811
507	2175	1807
508	2179	1802
509	2183	1797
510	2186	1792
511	2190	1788
512	2194	1783
513	2198	1779
514	2202	1774
515	2206	1770
516	2210	1765
517	2214	1760
518	2218	1756
519	2221	1751
520	2226	1747
521	2230	1743
522	2235	1739
523	2239	1734
524	2242	1729
525	2246	1725
526	2251	1721
527	2254	1716
528	2258	1711
529	2261	1706
530	2264	1701
531	2268	1697
532	2272	1692
533	2276	1688
534	2280	1683
535	2284	1678
536	2288	1674
537	2291	1669
538	2295	1665
539	2298	1660
540	2302	1655
541	2306	1651
542	2310	1646
543	2314	1642
544	2318	1637
545	2322	1633
546	2326	1628
