iter	Passed	Remaining
0	5	5062
1	11	5214
2	14	4576
3	18	4209
4	21	4007
5	25	3901
6	28	3822
7	32	3764
8	36	3712
9	40	3713
10	44	3713
11	47	3650
12	51	3637
13	55	3600
14	59	3624
15	63	3615
16	67	3618
17	71	3599
18	74	3568
19	78	3592
20	82	3589
21	86	3570
22	90	3550
23	93	3529
24	96	3504
25	100	3497
26	104	3494
27	107	3460
28	110	3425
29	113	3404
30	116	3380
31	120	3381
32	124	3376
33	127	3365
34	131	3354
35	135	3356
36	138	3353
37	142	3353
38	146	3354
39	150	3342
40	153	3329
41	157	3328
42	160	3312
43	163	3293
44	166	3279
45	170	3277
46	174	3271
47	177	3255
48	181	3261
49	184	3251
50	188	3248
51	192	3251
52	196	3244
53	199	3238
54	203	3232
55	206	3220
56	210	3219
57	214	3222
58	217	3214
59	222	3223
60	226	3221
61	229	3216
62	233	3218
63	237	3213
64	242	3222
65	245	3218
66	249	3208
67	252	3200
68	256	3205
69	260	3205
70	264	3203
71	268	3202
72	272	3197
73	276	3193
74	279	3191
75	283	3188
76	289	3204
77	293	3202
78	298	3217
79	302	3217
80	306	3211
81	310	3213
82	313	3204
83	317	3199
84	322	3207
85	326	3203
86	329	3197
87	333	3191
88	337	3187
89	341	3188
90	345	3185
91	348	3175
92	352	3170
93	355	3165
94	358	3153
95	362	3151
96	366	3145
97	370	3147
98	374	3140
99	378	3144
100	382	3138
101	386	3135
102	389	3129
103	393	3121
104	397	3126
105	401	3121
106	404	3113
107	408	3107
108	411	3102
109	415	3094
110	418	3087
111	421	3080
112	425	3074
113	429	3073
114	432	3066
115	435	3058
116	439	3053
117	443	3052
118	446	3046
119	450	3042
120	453	3035
121	458	3034
122	462	3034
123	466	3032
124	472	3041
125	482	3081
126	494	3125
127	499	3128
128	503	3128
129	508	3127
130	512	3122
131	516	3124
132	522	3133
133	527	3135
134	531	3129
135	535	3126
136	539	3123
137	543	3121
138	548	3121
139	552	3116
140	556	3116
141	561	3114
142	565	3114
143	569	3110
144	575	3114
145	578	3108
146	582	3101
147	586	3098
148	589	3092
149	594	3091
150	600	3097
151	604	3095
152	608	3091
153	613	3092
154	618	3092
155	622	3089
156	627	3091
157	632	3089
158	637	3089
159	640	3084
160	644	3078
161	648	3073
162	652	3072
163	656	3066
164	662	3070
165	667	3072
166	672	3071
167	677	3073
168	682	3074
169	688	3076
170	695	3084
171	700	3086
172	707	3094
173	711	3093
174	719	3103
175	723	3098
176	729	3103
177	734	3104
178	739	3104
179	745	3106
180	750	3104
181	754	3099
182	759	3098
183	762	3093
184	767	3092
185	772	3091
186	776	3085
187	781	3085
188	786	3083
189	792	3084
190	797	3085
191	801	3080
192	805	3077
193	810	3074
194	816	3077
195	820	3071
196	824	3066
197	829	3065
198	833	3060
199	836	3054
200	840	3047
201	844	3042
202	847	3036
203	851	3029
204	854	3022
205	858	3017
206	863	3016
207	869	3018
208	873	3014
209	877	3008
210	881	3004
211	885	2998
212	889	2994
213	893	2989
214	896	2983
215	901	2978
216	904	2973
217	909	2970
218	915	2973
219	927	2994
220	938	3012
221	942	3007
222	947	3005
223	951	2999
224	956	2998
225	960	2992
226	964	2987
227	968	2981
228	972	2977
229	977	2974
230	981	2969
231	985	2964
232	989	2960
233	994	2957
234	998	2952
235	1002	2949
236	1007	2946
237	1011	2941
238	1016	2938
239	1021	2937
240	1025	2932
241	1030	2929
242	1036	2929
243	1041	2929
244	1046	2925
245	1051	2923
246	1057	2923
247	1062	2921
248	1066	2916
249	1072	2917
250	1078	2917
251	1084	2916
252	1088	2912
253	1092	2908
254	1096	2902
255	1101	2898
256	1105	2894
257	1110	2892
258	1114	2887
259	1119	2884
260	1123	2880
261	1128	2877
262	1133	2873
263	1137	2869
264	1142	2865
265	1146	2862
266	1151	2859
267	1155	2854
268	1159	2848
269	1163	2842
270	1166	2837
271	1172	2836
272	1176	2830
273	1180	2825
274	1184	2820
275	1188	2815
276	1191	2809
277	1195	2804
278	1200	2800
279	1203	2794
280	1206	2787
281	1210	2781
282	1216	2780
283	1221	2778
284	1224	2772
285	1228	2765
286	1232	2760
287	1236	2757
288	1240	2752
289	1244	2746
290	1248	2741
291	1252	2736
292	1256	2731
293	1259	2725
294	1263	2719
