iter	Passed	Remaining
0	5	5207
1	9	4367
2	12	3922
3	16	3783
4	19	3664
5	22	3541
6	26	3505
7	30	3494
8	33	3468
9	37	3432
10	41	3444
11	45	3507
12	49	3525
13	54	3534
14	57	3504
15	61	3496
16	65	3495
17	69	3505
18	73	3515
19	78	3563
20	82	3566
21	86	3567
22	90	3551
23	93	3542
24	97	3529
25	101	3515
26	104	3499
27	109	3513
28	113	3522
29	117	3533
30	121	3535
31	125	3525
32	129	3510
33	133	3512
34	137	3506
35	141	3519
36	146	3540
37	150	3534
38	155	3559
39	159	3546
40	162	3532
41	166	3519
42	169	3498
43	173	3485
44	176	3461
45	179	3441
46	182	3430
47	185	3414
48	189	3399
49	192	3381
50	195	3364
51	198	3356
52	202	3343
53	205	3332
54	208	3318
55	211	3305
56	214	3287
57	217	3271
58	220	3257
59	223	3245
60	227	3235
61	230	3230
62	234	3228
63	237	3219
64	241	3209
65	244	3204
66	249	3213
67	253	3214
68	257	3209
69	260	3202
70	264	3202
71	268	3199
72	271	3192
73	275	3182
74	279	3181
75	282	3173
76	286	3168
77	290	3168
78	293	3159
79	298	3174
80	302	3170
81	307	3181
82	311	3176
83	315	3175
84	318	3168
85	322	3161
86	326	3165
87	330	3159
88	333	3150
89	336	3142
90	340	3141
91	344	3142
92	348	3135
93	353	3145
94	356	3135
95	360	3130
96	363	3125
97	367	3118
98	370	3113
99	374	3106
100	377	3098
101	382	3101
102	385	3096
103	388	3085
104	392	3086
105	397	3090
106	400	3083
107	403	3073
108	407	3067
109	410	3061
110	414	3061
111	418	3056
112	421	3044
113	424	3041
114	428	3035
115	431	3027
116	435	3023
117	438	3018
118	441	3011
119	445	3009
120	449	3004
121	452	2996
122	455	2991
123	459	2987
124	463	2986
125	467	2980
126	471	2981
127	475	2981
128	480	2984
129	484	2982
130	488	2981
131	492	2978
132	496	2976
133	500	2974
134	506	2980
135	510	2979
136	514	2980
137	527	3025
138	537	3060
139	541	3057
140	545	3054
141	551	3057
142	555	3054
143	559	3051
144	562	3045
145	566	3040
146	569	3035
147	573	3031
148	577	3026
149	581	3021
150	584	3016
151	589	3014
152	592	3010
153	596	3006
154	600	3002
155	604	2997
156	609	2999
157	614	3000
158	618	2998
159	623	3002
160	629	3007
161	635	3014
162	640	3015
163	647	3026
164	654	3035
165	660	3038
166	666	3045
167	672	3051
168	678	3054
169	683	3055
170	688	3055
171	692	3052
172	697	3051
173	703	3057
174	709	3061
175	713	3057
176	718	3055
177	722	3051
178	725	3043
179	730	3045
180	734	3039
181	738	3033
182	743	3034
183	747	3030
184	751	3025
185	754	3018
186	759	3016
187	763	3011
188	767	3008
189	771	3004
190	775	3002
191	780	3001
192	786	3001
193	790	2998
194	794	2993
195	797	2986
196	803	2990
197	807	2984
198	813	2986
199	817	2982
200	821	2979
201	825	2974
202	828	2967
203	831	2960
204	835	2954
205	838	2948
206	842	2941
207	845	2935
208	850	2933
209	854	2929
210	859	2927
211	864	2926
212	867	2920
213	872	2919
214	877	2918
215	881	2914
216	886	2912
217	891	2910
218	895	2906
219	900	2906
220	904	2901
221	910	2903
222	915	2901
223	919	2898
224	925	2899
225	929	2893
226	932	2889
227	937	2886
228	941	2880
229	945	2878
230	950	2874
231	954	2872
232	960	2874
233	965	2870
234	969	2867
235	973	2862
236	982	2872
237	994	2891
238	1000	2893
239	1005	2889
240	1009	2887
241	1013	2881
242	1017	2876
243	1022	2873
244	1026	2869
245	1029	2863
246	1033	2858
247	1037	2853
248	1041	2848
249	1045	2842
250	1050	2842
251	1055	2839
252	1059	2836
253	1064	2831
254	1068	2827
255	1073	2825
256	1078	2824
257	1082	2820
258	1087	2817
259	1090	2810
260	1094	2804
261	1097	2799
262	1101	2794
263	1106	2791
264	1110	2786
265	1115	2784
266	1119	2779
267	1125	2779
268	1129	2775
269	1133	2771
270	1137	2765
271	1141	2761
272	1145	2757
273	1149	2752
274	1155	2751
275	1159	2747
276	1163	2742
277	1167	2738
278	1172	2735
279	1176	2730
280	1181	2727
281	1184	2721
282	1188	2717
283	1192	2711
284	1195	2706
