iter	Accuracy	MultiClass
0	0.4395739451	1.096961118
1	0.4416222859	1.094951878
2	0.4408029496	1.093540125
3	0.4395739451	1.092057412
4	0.4448996313	1.09006463
5	0.4416222859	1.088324443
6	0.4518639902	1.086563016
7	0.4571896764	1.084822459
8	0.4571896764	1.082781746
9	0.4567800082	1.081194179
10	0.45637034	1.079847435
11	0.4571896764	1.078376343
12	0.45637034	1.076906951
13	0.45637034	1.075311576
14	0.4567800082	1.074211617
15	0.4575993445	1.072914334
16	0.4580090127	1.07193276
17	0.4580090127	1.070823093
18	0.4571896764	1.069375397
19	0.4584186809	1.068523503
20	0.4580090127	1.067566738
21	0.4567800082	1.066725249
22	0.4567800082	1.06597381
23	0.4567800082	1.065485256
24	0.4567800082	1.064625893
25	0.4567800082	1.063607212
26	0.4567800082	1.062695978
27	0.4567800082	1.06184268
28	0.4567800082	1.061212138
29	0.45637034	1.060434632
30	0.45637034	1.05942025
31	0.4559606719	1.058706827
32	0.45637034	1.058134068
33	0.4567800082	1.057756643
34	0.4571896764	1.057013624
35	0.4567800082	1.056266283
36	0.4571896764	1.055705559
37	0.4571896764	1.05531302
38	0.4571896764	1.054401392
39	0.4567800082	1.053756432
40	0.4567800082	1.053262329
41	0.4567800082	1.052751096
42	0.4567800082	1.05225067
43	0.4567800082	1.051606041
44	0.45637034	1.051166101
45	0.45637034	1.050485528
46	0.4567800082	1.049949722
47	0.4571896764	1.049325423
48	0.4571896764	1.048687348
49	0.4571896764	1.048255284
50	0.4571896764	1.047749572
51	0.4575993445	1.047360647
52	0.4575993445	1.047045292
53	0.4575993445	1.046735492
54	0.4571896764	1.046206318
55	0.4571896764	1.045748711
56	0.4567800082	1.045359819
57	0.4567800082	1.044841893
58	0.4571896764	1.044462781
59	0.4571896764	1.043962796
60	0.4571896764	1.043579816
61	0.4567800082	1.04310174
62	0.4567800082	1.042722337
63	0.4571896764	1.042263928
64	0.4571896764	1.041992363
65	0.4571896764	1.041656994
66	0.4575993445	1.041267923
67	0.4575993445	1.040862151
68	0.4575993445	1.040651622
69	0.4575993445	1.040039942
70	0.4575993445	1.039470482
71	0.4580090127	1.038984255
72	0.4580090127	1.038625377
73	0.4584186809	1.037964074
74	0.4584186809	1.037597071
75	0.4580090127	1.037021522
76	0.4584186809	1.036652556
77	0.4580090127	1.036045178
78	0.4580090127	1.035653413
79	0.4580090127	1.035245426
80	0.4580090127	1.034755985
81	0.4580090127	1.034305251
82	0.4580090127	1.033914739
83	0.4584186809	1.033542609
84	0.4584186809	1.033040311
85	0.4584186809	1.032691292
86	0.4584186809	1.032514529
87	0.458828349	1.032069528
88	0.458828349	1.031801641
89	0.458828349	1.031324104
90	0.4592380172	1.030809823
91	0.4584186809	1.030300067
92	0.4584186809	1.029805315
93	0.4584186809	1.029452218
94	0.4592380172	1.028868405
95	0.4596476854	1.02833294
96	0.4596476854	1.028064596
97	0.4596476854	1.027864864
98	0.4596476854	1.02741932
99	0.4604670217	1.026966601
100	0.4600573535	1.026565471
101	0.4604670217	1.026143847
102	0.4604670217	1.025866555
103	0.4600573535	1.025492926
104	0.4600573535	1.025148164
105	0.4600573535	1.024847006
106	0.4604670217	1.024456176
107	0.4608766899	1.023966882
108	0.4608766899	1.023566434
109	0.4616960262	1.023194459
110	0.4625153626	1.022742434
111	0.4621056944	1.022380644
112	0.4621056944	1.022238178
113	0.4633346989	1.021831989
114	0.4629250307	1.021524998
115	0.4625153626	1.021071458
116	0.4641540352	1.02084545
117	0.4637443671	1.020405643
118	0.4649733716	1.020115923
119	0.4641540352	1.019850526
120	0.4645637034	1.019520014
121	0.4649733716	1.019220343
122	0.4649733716	1.019101668
123	0.4653830397	1.018848731
124	0.4662023761	1.018623063
125	0.4674313806	1.018295933
126	0.4674313806	1.018089686
127	0.4678410488	1.01792631
128	0.4682507169	1.017790764
129	0.4682507169	1.017360845
130	0.4678410488	1.017135622
131	0.4674313806	1.016812221
132	0.4674313806	1.016513201
133	0.4674313806	1.016085474
134	0.4686603851	1.015742819
135	0.4682507169	1.01537711
136	0.4690700533	1.015165791
137	0.4702990578	1.014878887
138	0.4707087259	1.01452285
139	0.4702990578	1.014224565
140	0.4711183941	1.013917365
141	0.4711183941	1.013598292
142	0.4702990578	1.013279982
143	0.4711183941	1.012928891
144	0.4707087259	1.0126108
145	0.4715280623	1.012198147
146	0.4715280623	1.011925146
147	0.4723473986	1.011567452
148	0.4715280623	1.011176354
149	0.4715280623	1.010855531
150	0.4743957395	1.010547927
151	0.4743957395	1.009851074
152	0.4743957395	1.009415979
153	0.4752150758	1.009087151
154	0.4748054076	1.008843297
155	0.4752150758	1.00836416
156	0.475624744	1.007899708
157	0.4752150758	1.007519587
158	0.475624744	1.007110165
159	0.4760344121	1.006663429
160	0.4768537485	1.006233052
161	0.4784924211	1.005379662
162	0.4784924211	1.004851085
163	0.4772634166	1.004688198
164	0.4789020893	1.00434741
165	0.4801310938	1.004029713
166	0.480540762	1.003669184
167	0.4813600983	1.003366828
168	0.4817697665	1.002972928
169	0.4817697665	1.0027274
170	0.4821794347	1.002486091
171	0.4834084392	1.002227455
172	0.4842277755	1.001764893
173	0.48545678	1.001387003
174	0.4846374437	1.000958897
175	0.4842277755	1.000840059
176	0.4846374437	1.000520558
177	0.4850471118	1.000287063
178	0.48545678	0.9999051747
179	0.4862761163	0.9996134211
180	0.4866857845	0.9992366202
181	0.4866857845	0.9990580963
182	0.4875051209	0.9988775685
183	0.4870954527	0.9986022029
184	0.487914789	0.9983442458
185	0.4883244572	0.99780383
186	0.4891437935	0.997639663
187	0.4899631299	0.9972944337
188	0.4907824662	0.9971115823
189	0.4907824662	0.9969275329
190	0.4920114707	0.9965862173
191	0.4920114707	0.996409856
192	0.4944694797	0.9958995663
193	0.4916018025	0.9954882789
194	0.4924211389	0.9952823793
195	0.4948791479	0.9949653211
196	0.4961081524	0.9948022005
197	0.4969274887	0.9943941755
198	0.4969274887	0.9939570955
199	0.4973371569	0.993659634
200	0.4985661614	0.9934231218
201	0.4981564932	0.9932300193
202	0.4985661614	0.9931120377
203	0.4981564932	0.9927240352
204	0.4981564932	0.9924899234
205	0.4985661614	0.9921820078
206	0.4989758296	0.9918342068
207	0.5002048341	0.9915864151
208	0.5006145023	0.9912940614
209	0.5030725113	0.9909264827
210	0.5043015158	0.9904379191
211	0.5047111839	0.9902564997
212	0.5047111839	0.9900906802
213	0.5043015158	0.9898249863
214	0.5051208521	0.9895111651
215	0.5047111839	0.9892466748
216	0.5059401884	0.9887841262
217	0.5059401884	0.9883376708
218	0.5059401884	0.9881687199
219	0.5067595248	0.9876490565
220	0.5067595248	0.9874565297
221	0.507169193	0.9871146672
222	0.5088078656	0.9868953696
223	0.5079885293	0.9865849134
224	0.5079885293	0.9862825371
225	0.5088078656	0.9858809351
226	0.5088078656	0.9856704417
227	0.5088078656	0.9854675665
228	0.5100368701	0.9851443105
229	0.5108562065	0.9849224257
230	0.5104465383	0.9845815533
231	0.5104465383	0.9843279668
232	0.5108562065	0.9838415667
233	0.5108562065	0.9836695993
234	0.5100368701	0.9832133105
235	0.5104465383	0.9828931216
236	0.509627202	0.9826136843
237	0.5104465383	0.9823818192
238	0.5104465383	0.9821617819
239	0.512085211	0.9819371466
240	0.512085211	0.9815484243
241	0.5124948791	0.9814211457
242	0.5124948791	0.981162309
243	0.5129045473	0.9810192547
244	0.5129045473	0.9806968217
245	0.5137238837	0.9804520034
246	0.5133142155	0.9800737085
247	0.5137238837	0.9798071272
248	0.51454322	0.9792757244
249	0.5149528882	0.9790797779
250	0.5149528882	0.9788995772
251	0.5161818927	0.9787084672
252	0.5161818927	0.9783940084
253	0.5174108972	0.9778030066
254	0.5186399017	0.9775549194
255	0.5206882425	0.9769629341
256	0.5210979107	0.9766120887
257	0.5198689062	0.9763329636
258	0.5198689062	0.9760537789
259	0.519459238	0.9757456493
260	0.5206882425	0.9752506482
261	0.5210979107	0.9749874842
262	0.5215075789	0.9747973281
263	0.5231462515	0.9746241631
264	0.5231462515	0.9741174546
265	0.5231462515	0.9739781749
266	0.5239655879	0.9737817068
267	0.5256042605	0.9733783
268	0.5268332651	0.9731159489
269	0.5276526014	0.9729651174
270	0.5272429332	0.9726699165
271	0.5284719377	0.9723572363
272	0.5292912741	0.9720456439
273	0.5297009422	0.9717530395
274	0.5309299467	0.9714777364
275	0.5305202786	0.9712135923
276	0.5305202786	0.9708686353
277	0.5309299467	0.9706164291
278	0.5317492831	0.9702320441
279	0.5333879558	0.9698792286
280	0.5333879558	0.9695857429
281	0.5337976239	0.9692932391
282	0.5346169603	0.9689985932
283	0.5342072921	0.9686857932
284	0.5342072921	0.9682292636
285	0.5346169603	0.9678439051
286	0.5354362966	0.9675788891
287	0.5354362966	0.9670943117
288	0.5366653011	0.9669352866
289	0.5370749693	0.9667590039
290	0.5370749693	0.9662057753
291	0.538713642	0.9658483119
292	0.5391233101	0.965502284
293	0.5391233101	0.9650513121
294	0.5403523146	0.9647194954
295	0.5419909873	0.964494521
296	0.5419909873	0.9640467869
297	0.5428103236	0.9637478481
298	0.5432199918	0.9634058763
299	0.54362966	0.9630334035
300	0.5428103236	0.9625693423
301	0.5464973372	0.9620640074
302	0.5464973372	0.9618135492
303	0.546087669	0.9614545607
304	0.5456780008	0.9609590261
305	0.5464973372	0.9607518403
306	0.5473166735	0.9603958704
307	0.5489553462	0.9602254943
308	0.5489553462	0.9596832494
309	0.5489553462	0.959271806
310	0.5497746825	0.9589692619
311	0.5501843507	0.9586578398
312	0.5505940188	0.9582044165
313	0.5501843507	0.9579126184
314	0.5497746825	0.9573726429
315	0.5497746825	0.9570505452
316	0.551003687	0.956508179
317	0.551003687	0.9561974023
318	0.5522326915	0.9557411878
319	0.5505940188	0.9552351125
320	0.5522326915	0.9547108576
321	0.5522326915	0.9542703824
322	0.5526423597	0.953876018
323	0.5526423597	0.9536520609
324	0.5526423597	0.9531409058
325	0.5530520279	0.9525652954
326	0.553461696	0.9521211345
327	0.5542810324	0.9518978472
328	0.5542810324	0.9515832128
329	0.5542810324	0.9510494229
330	0.5546907005	0.9505900817
331	0.5542810324	0.950234893
332	0.5546907005	0.9497352874
333	0.555919705	0.949413987
334	0.5567390414	0.9486874066
335	0.555919705	0.9484212845
336	0.5571487095	0.9480013376
337	0.5587873822	0.9477281687
338	0.5583777141	0.9469789703
339	0.5579680459	0.9467842733
340	0.5583777141	0.9464438607
341	0.5583777141	0.9460628163
342	0.5591970504	0.9458112564
343	0.5600163867	0.9453080149
344	0.5600163867	0.9446857487
345	0.5608357231	0.9439638124
346	0.5604260549	0.9435360156
347	0.5620647276	0.9431510121
348	0.5632937321	0.9426791051
349	0.5637034002	0.9422573746
350	0.5645227366	0.9419819255
351	0.5632937321	0.9414321189
352	0.5632937321	0.9409939631
353	0.5641130684	0.9407890101
354	0.5637034002	0.9403971535
355	0.5649324048	0.9398808188
356	0.5641130684	0.9395920882
357	0.5653420729	0.9391991418
358	0.5657517411	0.938584646
359	0.5653420729	0.9384846151
360	0.5657517411	0.9379661519
361	0.5657517411	0.9376769141
362	0.5657517411	0.9371520451
363	0.5661614093	0.9368146978
364	0.5665710774	0.9363740904
365	0.5678000819	0.9359318856
366	0.5686194183	0.9357115579
367	0.5694387546	0.9353538521
368	0.5686194183	0.9349379728
369	0.5682097501	0.9346076813
370	0.5690290864	0.9343002616
371	0.5686194183	0.9337390027
372	0.5694387546	0.9331795816
373	0.5702580909	0.9328322914
374	0.5706677591	0.9322423956
375	0.5714870955	0.9317754398
376	0.5718967636	0.931438368
377	0.5714870955	0.9311169072
378	0.5718967636	0.930664454
379	0.5710774273	0.9302246346
380	0.5735354363	0.9297429516
381	0.5739451045	0.9293790561
382	0.5755837771	0.9289234139
383	0.5759934453	0.9286443356
384	0.5768127816	0.9280778874
385	0.5764031135	0.9277792335
386	0.5759934453	0.9273290548
387	0.5772224498	0.9269508381
388	0.5768127816	0.9266165279
389	0.5755837771	0.9263097087
390	0.575174109	0.9259940864
391	0.5764031135	0.9257223228
392	0.5759934453	0.9254908336
393	0.5768127816	0.9249543267
394	0.5780417862	0.9245667732
395	0.5772224498	0.9240653046
396	0.577632118	0.9238164813
397	0.580090127	0.9235311016
398	0.5804997952	0.9231835357
399	0.5804997952	0.9226436044
400	0.5809094633	0.9222947414
401	0.5809094633	0.9220764482
402	0.5796804588	0.9217501392
403	0.5804997952	0.9213639479
404	0.582548136	0.9210790018
405	0.5837771405	0.920623817
406	0.5866448177	0.9202153114
407	0.5866448177	0.9196895441
408	0.5878738222	0.9193588032
409	0.5878738222	0.9190381567
410	0.5878738222	0.918601835
411	0.587464154	0.9181968376
412	0.5878738222	0.9178653808
413	0.5886931585	0.9174817194
414	0.5895124949	0.9170574464
415	0.5903318312	0.9166804666
416	0.5911511676	0.9164004013
417	0.5907414994	0.9161618855
418	0.5911511676	0.9158590098
419	0.5923801721	0.9154796323
420	0.5923801721	0.9152892385
421	0.5931995084	0.9148909871
422	0.5940188447	0.9145938156
423	0.5948381811	0.9143578871
424	0.5944285129	0.9139150337
425	0.5948381811	0.9135305565
426	0.5948381811	0.9132237678
427	0.5968865219	0.9126722198
428	0.5981155264	0.9122526937
429	0.5960671856	0.9118735488
430	0.5981155264	0.9115233953
431	0.5981155264	0.9111633384
432	0.5985251946	0.9107661488
433	0.5989348628	0.9103074344
434	0.5997541991	0.9099782935
435	0.5989348628	0.9096797247
436	0.5989348628	0.9094163435
437	0.6013928718	0.9090331304
438	0.6009832036	0.9084548539
439	0.6013928718	0.907977902
440	0.6018025399	0.9075959158
441	0.6034412126	0.9073500948
442	0.6026218763	0.9070302615
443	0.6034412126	0.9066733976
444	0.6034412126	0.9063010493
445	0.6038508808	0.9060844387
