iter	Passed	Remaining
0	5	4691
1	8	4043
2	10	3217
3	14	3468
4	22	4103
5	31	4865
6	35	4698
7	39	4545
8	43	4415
9	46	4284
10	49	4175
11	53	4090
12	56	3967
13	59	3868
14	62	3792
15	65	3743
16	69	3743
17	73	3713
18	76	3676
19	79	3639
20	83	3615
21	87	3601
22	90	3579
23	93	3545
24	97	3544
25	101	3528
26	105	3527
27	109	3529
28	112	3500
29	116	3481
30	119	3467
31	123	3457
32	126	3431
33	130	3447
34	135	3453
35	138	3445
36	144	3480
37	147	3469
38	151	3459
39	155	3454
40	158	3445
41	162	3437
42	166	3441
43	170	3436
44	174	3425
45	177	3413
46	181	3408
47	184	3398
48	188	3390
49	192	3385
50	196	3391
51	201	3395
52	203	3368
53	206	3354
54	209	3335
55	212	3322
56	216	3316
57	219	3305
58	224	3309
59	227	3303
60	231	3300
61	234	3287
62	238	3281
63	241	3273
64	245	3266
65	248	3250
66	251	3237
67	254	3225
68	257	3215
69	260	3201
70	264	3200
71	268	3194
72	272	3197
73	275	3184
74	278	3178
75	282	3173
76	285	3166
77	290	3167
78	293	3160
79	296	3152
80	299	3141
81	304	3144
82	307	3143
83	312	3148
84	316	3145
85	319	3137
86	324	3142
87	328	3145
88	332	3137
89	335	3129
90	338	3125
91	342	3121
92	346	3117
93	349	3111
94	353	3104
95	356	3100
96	360	3094
97	363	3085
98	366	3076
99	369	3068
100	373	3063
101	376	3057
102	380	3051
103	384	3053
104	389	3058
105	392	3053
106	396	3050
107	400	3049
108	404	3045
109	408	3042
110	412	3041
111	415	3036
112	420	3037
113	423	3034
114	427	3029
115	430	3024
116	434	3017
117	438	3017
118	441	3010
119	445	3005
120	449	3002
121	452	2998
122	457	3000
123	461	2999
124	466	3001
125	470	3000
126	474	3001
127	479	3006
128	484	3010
129	489	3009
130	493	3009
131	497	3005
132	501	3007
133	505	3005
134	510	3004
135	514	3002
136	518	3002
137	522	3000
138	527	3002
139	533	3009
140	537	3006
141	541	3004
142	545	3003
143	550	3003
144	553	2998
145	558	2998
146	562	2997
147	567	2997
148	571	2993
149	575	2994
150	579	2991
151	583	2986
152	588	2987
153	592	2985
154	597	2985
155	601	2982
156	605	2980
157	609	2977
158	614	2977
159	619	2982
160	625	2988
161	631	2994
162	636	2993
163	642	3000
164	648	3005
165	654	3011
166	659	3011
167	664	3014
168	670	3018
169	686	3071
170	697	3095
171	703	3098
172	707	3096
173	712	3096
174	717	3093
175	722	3093
176	726	3091
177	731	3089
178	735	3086
179	739	3081
180	743	3076
181	747	3070
182	751	3069
183	755	3063
184	760	3061
185	764	3056
186	768	3051
187	771	3045
188	775	3038
189	778	3031
190	781	3024
191	786	3024
192	791	3022
193	795	3016
194	799	3012
195	804	3013
196	809	3013
197	813	3007
198	817	3003
199	821	2998
200	825	2993
201	829	2988
202	832	2982
203	836	2978
204	840	2971
205	844	2966
206	847	2960
207	851	2954
208	854	2948
209	858	2942
210	862	2938
211	866	2935
212	870	2931
213	875	2928
214	879	2923
215	883	2919
216	887	2915
217	891	2912
218	897	2912
219	900	2907
220	905	2903
221	908	2898
222	912	2893
223	916	2889
224	920	2882
225	923	2876
226	927	2872
227	931	2867
