iter	Passed	Remaining
0	6	5981
1	10	4718
2	13	4111
3	16	3836
4	20	3710
5	23	3578
6	26	3537
7	30	3479
8	33	3452
9	37	3422
10	41	3430
11	45	3480
12	48	3438
13	53	3504
14	57	3483
15	60	3445
16	63	3428
17	67	3414
18	71	3412
19	75	3418
20	78	3411
21	83	3435
22	87	3452
23	91	3449
24	95	3451
25	99	3443
26	104	3505
27	108	3502
28	113	3518
29	117	3510
30	120	3496
31	124	3493
32	128	3480
33	131	3467
34	135	3458
35	140	3482
36	144	3498
37	150	3528
38	155	3553
39	158	3528
40	161	3502
41	164	3484
42	167	3460
43	171	3462
44	175	3457
45	179	3455
46	183	3450
47	187	3439
48	190	3432
49	194	3426
50	198	3413
51	201	3406
52	204	3388
53	208	3375
54	212	3373
55	214	3355
56	218	3345
57	222	3340
58	226	3338
59	229	3334
60	233	3328
61	237	3325
62	240	3314
63	244	3308
64	248	3306
65	252	3302
66	255	3293
67	258	3280
68	263	3286
69	268	3293
70	272	3291
71	276	3292
72	280	3291
73	284	3291
74	289	3295
75	293	3297
76	299	3312
77	303	3315
78	308	3328
79	313	3326
80	316	3321
81	320	3316
82	325	3318
83	328	3312
84	332	3308
85	336	3301
86	340	3299
87	344	3293
88	347	3282
89	351	3276
90	364	3358
91	368	3355
92	371	3346
93	375	3338
94	379	3334
95	383	3335
96	388	3335
97	392	3331
98	395	3321
99	398	3311
100	403	3309
101	406	3301
102	409	3291
103	413	3282
104	417	3280
105	421	3273
106	424	3267
107	428	3258
108	431	3251
109	435	3244
110	439	3242
111	443	3237
112	447	3231
113	450	3226
114	454	3221
115	458	3215
116	462	3217
117	466	3211
118	470	3203
119	473	3197
120	477	3191
121	482	3196
122	487	3199
123	491	3197
124	495	3192
125	499	3188
126	503	3184
127	508	3184
128	512	3180
129	516	3179
130	520	3175
131	524	3167
132	527	3161
133	532	3160
134	536	3158
135	541	3159
136	545	3155
137	549	3155
138	559	3185
139	568	3210
140	577	3228
141	581	3226
142	585	3221
143	591	3228
144	595	3224
145	601	3231
146	606	3230
147	610	3225
148	617	3234
149	625	3250
150	630	3251
151	634	3249
152	641	3257
153	647	3262
154	651	3256
155	656	3256
156	663	3267
157	669	3273
158	674	3272
159	679	3271
160	685	3271
161	688	3266
162	692	3260
163	698	3261
164	701	3254
165	708	3262
166	713	3257
167	717	3252
168	721	3249
169	725	3242
170	730	3241
171	734	3238
172	739	3237
173	745	3237
174	749	3234
175	754	3231
176	758	3226
177	762	3222
178	767	3219
179	772	3218
180	777	3216
181	780	3209
182	784	3202
183	788	3198
184	792	3192
185	796	3187
186	800	3181
187	804	3175
188	808	3168
189	811	3161
190	815	3154
191	819	3150
192	823	3145
193	827	3141
194	831	3135
195	836	3132
196	840	3127
197	844	3123
198	849	3120
199	854	3117
200	858	3115
201	865	3119
202	870	3116
203	873	3109
204	877	3102
205	881	3096
206	884	3090
207	888	3082
208	891	3075
209	895	3069
210	899	3065
211	903	3059
212	906	3052
213	910	3046
214	913	3038
215	917	3034
216	922	3029
217	926	3025
218	929	3018
219	933	3013
220	937	3007
221	941	3002
222	945	2996
223	949	2991
224	952	2985
225	956	2978
226	959	2971
227	963	2966
228	967	2961
229	972	2959
230	976	2956
231	981	2952
232	985	2949
233	990	2946
234	994	2940
235	997	2933
236	1002	2932
237	1007	2928
238	1010	2922
239	1014	2916
240	1018	2911
241	1023	2908
242	1027	2904
243	1032	2902
244	1035	2896
245	1039	2890
246	1043	2885
247	1046	2878
248	1050	2873
249	1054	2868
250	1058	2862
251	1062	2858
252	1065	2852
253	1075	2862
254	1085	2873
255	1093	2878
256	1097	2874
257	1103	2873
258	1106	2867
259	1112	2867
260	1116	2862
261	1120	2855
262	1123	2849
263	1127	2843
264	1131	2838
265	1135	2833
266	1138	2827
267	1142	2821
268	1146	2816
269	1150	2812
270	1154	2807
271	1157	2801
272	1161	2796
273	1165	2790
274	1169	2786
275	1173	2780
276	1177	2775
277	1180	2769
278	1184	2763
279	1188	2758
280	1192	2753
281	1196	2749
282	1200	2744
283	1204	2740
284	1210	2739
285	1215	2736
286	1219	2731
287	1223	2727
288	1227	2722
289	1231	2717
290	1234	2711
291	1239	2707
292	1242	2701
293	1246	2695
294	1250	2691
295	1253	2685
296	1257	2679
297	1260	2673
298	1264	2668
299	1268	2664
300	1273	2660
301	1277	2656
302	1281	2651
