iter	Accuracy	MultiClass
0	0.4418032787	1.09687755
1	0.4430327869	1.094793255
2	0.4413934426	1.09303923
3	0.443442623	1.091304736
4	0.4454918033	1.089518643
5	0.443442623	1.088193921
6	0.4422131148	1.086690463
7	0.4413934426	1.085195338
8	0.4422131148	1.083963808
9	0.4409836066	1.082312597
10	0.4405737705	1.080978791
11	0.4409836066	1.079589737
12	0.4409836066	1.078189625
13	0.4409836066	1.076819203
14	0.443442623	1.075519691
15	0.4430327869	1.074067246
16	0.4430327869	1.072820193
17	0.4487704918	1.071619997
18	0.4540983607	1.070539393
19	0.4606557377	1.069185743
20	0.462295082	1.068140651
21	0.4618852459	1.067234779
22	0.4614754098	1.066416757
23	0.4606557377	1.065538636
24	0.4610655738	1.064765471
25	0.462295082	1.064217516
26	0.4602459016	1.063284815
27	0.4610655738	1.06244904
28	0.4610655738	1.061520651
29	0.4614754098	1.060580425
30	0.4606557377	1.059914483
31	0.4618852459	1.059255507
32	0.4594262295	1.058371565
33	0.4598360656	1.057412213
34	0.4606557377	1.056586021
35	0.4606557377	1.056029831
36	0.4602459016	1.05534981
37	0.4606557377	1.054856747
38	0.4610655738	1.054216711
39	0.4618852459	1.053539593
40	0.4618852459	1.052899082
41	0.4618852459	1.052182502
42	0.4614754098	1.051360197
43	0.4610655738	1.050712393
44	0.4610655738	1.050241437
45	0.4618852459	1.049538174
46	0.462295082	1.049118801
47	0.4590163934	1.048428504
48	0.4594262295	1.047939249
49	0.4590163934	1.047438781
50	0.4586065574	1.046709344
51	0.4594262295	1.046065043
52	0.4590163934	1.045701732
53	0.4577868852	1.045174724
54	0.4573770492	1.044579641
55	0.4581967213	1.044235718
56	0.4581967213	1.043678602
57	0.4586065574	1.043257577
58	0.4586065574	1.042914468
59	0.4581967213	1.042587283
60	0.4581967213	1.042254954
61	0.4577868852	1.041737288
62	0.4577868852	1.041097596
63	0.4577868852	1.040725668
64	0.4586065574	1.040359027
65	0.4581967213	1.039826942
66	0.4581967213	1.039430363
67	0.4577868852	1.039014183
68	0.4586065574	1.038380192
69	0.4586065574	1.037823967
70	0.4590163934	1.037499148
71	0.4590163934	1.037158523
72	0.4590163934	1.036859007
73	0.4594262295	1.036437187
