iter	Passed	Remaining
0	4	4246
1	7	3576
2	11	3450
3	14	3321
4	17	3298
5	21	3261
6	24	3260
7	28	3260
8	32	3278
9	35	3283
10	39	3284
11	42	3279
12	46	3278
13	50	3274
14	54	3313
15	57	3304
16	61	3305
17	64	3283
18	68	3288
19	72	3296
20	76	3296
21	79	3276
22	82	3265
23	86	3259
24	90	3271
25	94	3270
26	97	3262
27	100	3248
28	104	3239
29	107	3231
30	111	3237
31	115	3237
32	119	3235
33	122	3238
34	127	3261
35	133	3321
36	139	3357
37	144	3382
38	148	3386
39	152	3395
40	155	3372
41	158	3349
42	161	3336
43	165	3322
44	168	3307
45	171	3290
46	174	3274
47	178	3270
48	181	3258
49	184	3255
50	188	3244
51	192	3244
52	195	3234
53	198	3226
54	202	3221
55	205	3209
56	209	3205
57	212	3195
58	215	3180
59	219	3183
60	223	3177
61	227	3182
62	231	3187
63	235	3188
64	239	3186
65	242	3178
66	246	3169
67	249	3161
68	252	3155
69	256	3147
70	261	3160
71	265	3163
72	269	3160
73	273	3164
74	277	3166
75	281	3165
76	285	3166
77	290	3174
78	295	3180
79	298	3176
80	303	3177
81	306	3174
82	311	3180
83	315	3175
84	319	3173
85	322	3169
86	326	3164
87	331	3173
88	334	3165
89	338	3163
90	342	3156
91	345	3148
92	348	3140
93	353	3142
94	357	3140
95	361	3143
96	364	3133
97	368	3128
98	372	3127
99	377	3130
100	380	3125
101	384	3119
102	387	3114
103	391	3110
104	395	3108
105	399	3106
106	403	3099
107	406	3094
108	409	3085
109	412	3076
110	417	3078
111	420	3073
112	424	3067
113	427	3062
114	431	3060
115	435	3057
116	439	3053
117	443	3048
118	445	3038
119	449	3031
120	452	3027
121	457	3026
122	460	3020
123	464	3018
124	467	3013
125	472	3016
126	478	3023
127	481	3019
128	487	3025
129	492	3028
130	497	3032
131	501	3030
132	505	3026
133	509	3027
134	513	3023
135	517	3023
136	522	3023
137	526	3021
138	531	3025
139	535	3023
140	539	3016
141	542	3012
142	548	3018
143	552	3014
144	556	3012
145	562	3020
146	567	3024
147	572	3024
148	577	3024
149	580	3019
150	584	3015
151	590	3022
152	595	3023
153	601	3031
154	608	3042
155	614	3049
156	620	3055
157	632	3091
158	643	3120
159	651	3133
160	656	3135
161	662	3139
162	667	3140
163	672	3141
164	678	3144
165	685	3152
166	692	3161
167	697	3162
168	701	3159
169	705	3153
170	709	3149
171	713	3143
172	717	3138
173	720	3132
174	726	3135
175	731	3133
176	736	3133
177	741	3131
178	746	3132
179	750	3126
180	753	3118
181	757	3112
182	761	3107
183	766	3108
184	772	3109
185	777	3110
186	781	3105
187	785	3100
188	789	3096
189	794	3093
190	798	3088
191	803	3087
192	806	3081
193	810	3075
194	814	3070
195	818	3066
196	822	3060
197	826	3053
198	829	3047
199	833	3041
200	836	3034
201	840	3028
202	843	3020
203	846	3014
204	850	3008
205	854	3001
206	857	2995
207	861	2989
208	865	2986
209	870	2984
210	874	2980
211	879	2977
212	883	2974
213	887	2968
214	891	2965
215	898	2968
216	904	2970
217	909	2969
218	913	2965
219	917	2960
220	920	2953
221	924	2946
222	928	2942
223	932	2938
224	935	2932
225	939	2925
226	942	2919
227	946	2915
228	950	2911
229	954	2905
230	958	2899
231	962	2896
232	965	2889
233	969	2884
234	973	2878
235	977	2873
236	982	2871
237	986	2867
238	990	2864
239	994	2860
240	1000	2859
241	1004	2856
242	1008	2851
243	1012	2845
244	1016	2841
245	1020	2836
246	1024	2831
247	1028	2827
248	1032	2823
249	1036	2819
250	1039	2812
251	1043	2807
252	1047	2801
253	1050	2796
254	1054	2790
255	1057	2784
256	1061	2778
257	1065	2774
258	1068	2769
259	1072	2763
260	1075	2756
261	1079	2753
262	1083	2748
263	1088	2747
264	1093	2743
265	1097	2739
266	1102	2737
267	1105	2730
268	1109	2726
269	1112	2720
270	1116	2715
271	1120	2709
272	1123	2703
273	1127	2699
274	1131	2694
275	1134	2689
276	1138	2683
277	1142	2679
278	1146	2675
279	1150	2670
280	1154	2665
281	1157	2660
282	1161	2656
283	1165	2651
284	1170	2648
285	1173	2643
286	1177	2637
287	1180	2631
288	1184	2627
289	1188	2621
290	1191	2617
291	1195	2612
292	1200	2609
293	1204	2605
294	1208	2602
295	1213	2598
296	1217	2595
297	1221	2591
298	1226	2588
299	1231	2585
300	1235	2581
301	1239	2577
302	1243	2572
303	1247	2568
304	1250	2563
305	1255	2559
306	1258	2554
307	1262	2550
308	1267	2546
309	1270	2540
310	1274	2536
311	1277	2531
312	1281	2525
313	1284	2520
314	1288	2515
315	1292	2511
316	1295	2505
317	1299	2500
318	1303	2496
319	1313	2504
320	1324	2513
321	1331	2514
322	1335	2510
323	1340	2506
324	1343	2501
325	1347	2496
326	1350	2491
327	1355	2487
328	1358	2481
329	1361	2476
330	1365	2471
331	1368	2465
332	1372	2461
333	1377	2457
334	1380	2452
335	1384	2448
336	1388	2443
337	1391	2437
338	1394	2431
339	1398	2426
340	1402	2421
341	1406	2417
342	1409	2412
343	1413	2408
344	1419	2406
345	1423	2402
346	1427	2397
347	1430	2392
348	1434	2387
349	1438	2383
350	1442	2378
351	1446	2374
352	1451	2372
353	1454	2367
354	1458	2362
355	1461	2356
356	1465	2352
357	1469	2347
358	1472	2342
359	1476	2337
360	1479	2332
361	1483	2327
362	1487	2323
363	1491	2319
364	1495	2314
365	1498	2309
366	1502	2305
367	1506	2300
368	1509	2295
369	1513	2291
370	1517	2286
371	1520	2281
372	1524	2276
373	1528	2272
374	1532	2268
375	1536	2263
376	1540	2259
377	1544	2255
378	1549	2253
379	1554	2249
380	1557	2244
381	1564	2244
382	1569	2241
383	1573	2237
384	1577	2232
385	1581	2228
386	1585	2225
387	1589	2220
388	1593	2215
389	1597	2211
390	1602	2208
391	1606	2204
392	1610	2200
393	1613	2194
394	1617	2190
395	1621	2185
396	1625	2181
397	1628	2177
398	1632	2172
399	1635	2167
400	1640	2163
401	1643	2159
402	1647	2154
403	1651	2149
404	1654	2144
405	1658	2140
406	1662	2136
407	1668	2134
408	1675	2134
409	1679	2130
410	1683	2125
411	1688	2123
412	1692	2118
413	1696	2114
414	1700	2110
415	1704	2105
416	1707	2101
417	1711	2096
418	1715	2092
419	1719	2087
420	1723	2083
421	1726	2078
422	1731	2074
423	1735	2071
424	1741	2069
425	1746	2066
426	1752	2064
427	1757	2061
428	1762	2058
429	1766	2054
430	1770	2050
431	1774	2046
432	1780	2043
433	1784	2039
434	1789	2036
435	1792	2031
436	1796	2026
437	1799	2021
438	1806	2020
439	1810	2016
440	1814	2011
441	1821	2010
442	1826	2007
443	1832	2005
444	1842	2007
445	1852	2009
446	1858	2008
447	1863	2004
448	1867	2000
449	1871	1995
450	1876	1993
451	1880	1988
452	1887	1987
453	1892	1984
454	1899	1983
455	1904	1979
456	1909	1976
457	1914	1972
458	1918	1968
459	1921	1963
460	1925	1959
461	1929	1954
462	1933	1949
463	1937	1946
464	1941	1941
465	1946	1938
466	1952	1935
467	1957	1932
468	1960	1927
469	1963	1922
470	1967	1917
471	1971	1912
472	1975	1908
473	1979	1904
474	1984	1900
475	1988	1896
476	1991	1891
477	1997	1888
478	2001	1884
479	2004	1879
480	2007	1874
481	2011	1869
482	2016	1865
483	2019	1861
484	2023	1856
485	2027	1852
486	2031	1848
487	2036	1844
488	2040	1840
489	2045	1836
490	2049	1832
491	2053	1828
492	2057	1823
493	2060	1818
494	2064	1814
495	2068	1809
496	2072	1805
497	2075	1800
498	2080	1796
499	2085	1793
500	2088	1788
501	2094	1786
502	2099	1782
503	2104	1778
504	2109	1775
505	2115	1772
506	2119	1768
507	2123	1764
508	2127	1759
509	2131	1755
510	2136	1751
511	2140	1747
512	2144	1743
513	2150	1740
514	2155	1736
515	2159	1732
516	2162	1727
517	2166	1723
518	2170	1718
519	2174	1714
520	2178	1710
521	2182	1706
522	2186	1701
523	2191	1697
524	2195	1693
525	2199	1689
526	2204	1685
527	2209	1681
528	2212	1677
529	2216	1672
530	2220	1668
531	2225	1664
532	2229	1660
533	2234	1657
534	2238	1652
535	2242	1648
536	2248	1645
537	2252	1641
538	2256	1636
539	2260	1632
540	2263	1627
541	2267	1622
542	2270	1618
543	2275	1614
544	2278	1609
545	2282	1605
546	2286	1600
547	2290	1596
548	2294	1592
549	2298	1587
550	2303	1584
551	2307	1580
552	2312	1576
553	2316	1572
554	2320	1568
555	2327	1565
556	2338	1565
557	2349	1566
558	2353	1561
559	2358	1558
560	2362	1554
561	2366	1549
562	2370	1545
563	2374	1541
564	2378	1536
565	2383	1532
566	2387	1528
567	2391	1524
568	2395	1519
569	2400	1515
570	2403	1511
571	2407	1507
572	2412	1502
573	2415	1498
574	2420	1494
575	2424	1489
576	2428	1485
577	2432	1481
578	2436	1477
579	2440	1473
580	2445	1468
581	2450	1464
582	2454	1461
583	2457	1456
584	2464	1453
585	2469	1449
586	2474	1446
587	2479	1442
588	2484	1438
589	2488	1433
590	2491	1429
591	2495	1424
592	2499	1420
593	2504	1416
594	2509	1412
595	2513	1408
596	2517	1404
597	2520	1399
598	2524	1394
599	2528	1390
600	2533	1387
601	2537	1382
602	2541	1378
603	2546	1374
604	2550	1369
605	2556	1366
606	2560	1362
607	2564	1358
608	2570	1354
609	2575	1350
610	2579	1346
611	2584	1342
612	2589	1339
613	2593	1334
614	2596	1330
615	2600	1325
616	2603	1320
617	2607	1316
618	2611	1312
619	2615	1307
620	2618	1303
621	2622	1298
622	2625	1293
623	2630	1289
624	2634	1285
625	2639	1281
626	2642	1277
627	2648	1273
628	2653	1269
629	2657	1265
630	2660	1260
631	2664	1256
632	2670	1252
633	2674	1248
634	2678	1244
635	2682	1240
636	2687	1235
637	2691	1231
638	2699	1229
639	2703	1224
640	2707	1220
641	2712	1216
642	2716	1212
643	2720	1208
644	2724	1203
645	2727	1199
646	2731	1194
647	2735	1190
648	2739	1186
649	2743	1181
650	2746	1177
651	2750	1172
652	2753	1168
653	2757	1163
654	2761	1159
655	2765	1155
656	2769	1150
657	2773	1146
658	2778	1142
659	2782	1138
660	2787	1134
661	2791	1130
662	2795	1125
663	2801	1122
664	2805	1117
665	2808	1113
666	2812	1108
667	2816	1104
668	2820	1100
669	2824	1095
670	2828	1091
671	2831	1087
672	2835	1082
