iter	Passed	Remaining
0	5	4854
1	8	4108
2	12	3881
3	16	3762
4	19	3672
5	23	3654
6	27	3594
7	30	3517
8	34	3482
9	37	3453
10	40	3414
11	44	3397
12	47	3383
13	51	3359
14	55	3411
15	59	3393
16	62	3358
17	66	3345
18	69	3328
19	72	3315
20	76	3323
21	80	3318
22	84	3322
23	88	3326
24	92	3335
25	95	3334
26	100	3364
27	104	3369
28	108	3379
29	118	3543
30	128	3724
31	133	3737
32	137	3728
33	141	3731
34	145	3724
35	150	3739
36	155	3763
37	159	3741
38	162	3707
39	165	3679
40	168	3653
41	171	3625
42	174	3602
43	177	3579
44	181	3561
45	184	3536
46	187	3513
47	190	3493
48	193	3477
49	196	3460
50	199	3442
51	202	3423
52	206	3410
53	209	3397
54	213	3397
55	217	3399
56	221	3390
57	225	3386
58	228	3375
59	232	3373
60	236	3367
61	239	3354
62	243	3348
63	247	3348
64	250	3337
65	254	3336
66	257	3321
67	260	3306
68	263	3293
69	267	3283
70	270	3269
71	273	3261
72	277	3253
73	280	3250
74	284	3240
75	288	3237
76	291	3230
77	294	3221
78	298	3212
79	301	3206
80	305	3202
81	308	3193
82	312	3187
83	316	3186
84	320	3183
85	323	3173
86	326	3168
87	330	3163
88	334	3160
89	337	3154
90	341	3148
91	347	3161
92	351	3166
93	356	3168
94	360	3167
95	363	3162
96	367	3156
97	372	3159
98	376	3160
99	379	3152
100	382	3143
101	386	3137
102	390	3132
103	394	3130
104	397	3126
105	401	3117
106	404	3110
107	408	3108
108	412	3106
109	415	3098
110	419	3095
111	422	3084
112	427	3088
113	431	3089
114	435	3088
115	438	3079
116	443	3080
117	447	3078
118	450	3072
119	454	3067
120	457	3061
121	461	3053
122	464	3045
123	467	3037
124	471	3037
125	475	3034
126	479	3031
127	482	3026
128	487	3025
129	491	3027
130	495	3022
131	499	3019
132	503	3016
133	506	3010
134	510	3007
135	515	3006
136	518	3001
137	523	3002
138	527	3001
139	531	2996
140	534	2990
141	537	2984
142	541	2982
143	546	2982
144	550	2981
145	554	2979
146	560	2986
147	564	2984
148	568	2979
149	572	2974
150	575	2968
151	578	2961
152	582	2957
153	585	2952
154	589	2947
155	592	2941
156	596	2936
157	600	2932
158	604	2929
159	611	2943
160	616	2943
161	622	2951
162	627	2952
163	633	2958
164	637	2954
165	641	2954
166	647	2959
167	653	2962
168	658	2963
169	662	2959
170	667	2962
171	670	2956
172	675	2957
173	681	2960
174	685	2957
175	689	2952
176	694	2953
177	709	2997
178	716	3005
179	725	3023
180	730	3021
181	735	3024
182	742	3028
183	747	3031
184	752	3029
185	756	3024
186	761	3024
187	765	3019
188	769	3018
189	773	3013
190	779	3016
191	784	3016
192	789	3014
193	793	3010
194	797	3005
195	800	2998
196	804	2992
197	807	2986
198	811	2980
199	817	2985
200	822	2984
201	828	2984
202	832	2979
203	835	2974
204	839	2970
205	843	2965
206	847	2961
207	851	2955
208	855	2950
209	859	2947
210	863	2942
211	867	2937
212	871	2934
213	876	2933
214	880	2927
215	883	2922
216	888	2919
217	893	2916
218	898	2917
219	903	2915
220	907	2911
221	911	2907
222	915	2901
223	919	2898
224	922	2891
225	926	2886
226	930	2883
227	935	2880
228	939	2874
229	943	2871
230	947	2867
231	951	2861
232	955	2857
233	958	2851
234	962	2846
235	966	2840
236	969	2835
237	974	2833
238	978	2830
239	983	2826
240	986	2821
241	991	2819
242	995	2814
243	1000	2813
244	1005	2810
245	1009	2807
246	1015	2807
247	1019	2804
248	1023	2799
249	1027	2793
250	1031	2790
251	1035	2786
252	1040	2784
253	1044	2780
254	1048	2775
255	1053	2774
256	1057	2769
257	1061	2764
258	1065	2759
259	1068	2754
260	1072	2749
261	1077	2747
262	1081	2742
263	1084	2737
264	1088	2732
265	1092	2728
266	1099	2729
267	1103	2726
268	1107	2722
269	1111	2718
270	1116	2715
271	1119	2708
272	1124	2705
273	1129	2703
274	1133	2698
275	1136	2694
276	1140	2689
277	1145	2686
278	1149	2682
279	1154	2679
280	1157	2674
281	1161	2668
282	1164	2663
283	1169	2659
284	1174	2659
285	1178	2654
286	1182	2648
287	1185	2642
288	1189	2638
289	1193	2633
290	1197	2630
291	1201	2625
292	1205	2620
293	1208	2615
294	1213	2611
295	1216	2606
296	1220	2601
297	1224	2597
298	1228	2593
299	1232	2588
300	1236	2583
301	1240	2579
302	1244	2575
303	1248	2570
304	1253	2567
305	1257	2563
306	1260	2558
307	1264	2554
308	1269	2551
309	1275	2551
310	1279	2547
311	1283	2541
312	1287	2537
313	1291	2533
314	1295	2528
315	1299	2524
316	1302	2519
317	1306	2514
318	1310	2509
319	1313	2504
320	1318	2501
321	1323	2498
322	1327	2495
323	1333	2493
324	1338	2490
325	1342	2486
326	1346	2482
327	1350	2478
328	1354	2474
329	1359	2471
330	1363	2466
331	1366	2461
332	1371	2458
333	1375	2454
334	1379	2449
335	1383	2445
336	1386	2439
337	1389	2434
338	1394	2430
339	1397	2424
340	1401	2420
341	1405	2416
342	1408	2411
343	1412	2405
344	1421	2409
345	1433	2418
346	1440	2420
347	1444	2416
348	1449	2412
349	1452	2407
350	1456	2402
351	1461	2400
352	1466	2397
353	1472	2395
354	1476	2391
355	1480	2387
356	1484	2382
357	1488	2377
358	1491	2372
359	1494	2366
360	1499	2362
361	1502	2357
362	1506	2352
363	1510	2348
364	1514	2343
365	1518	2339
366	1524	2338
367	1530	2336
368	1534	2333
369	1538	2329
370	1543	2325
371	1547	2321
372	1551	2316
373	1555	2313
374	1559	2308
375	1563	2304
376	1568	2300
377	1573	2297
378	1577	2294
379	1582	2289
380	1586	2285
381	1590	2281
382	1594	2277
383	1598	2272
384	1602	2268
385	1606	2263
386	1610	2259
387	1614	2254
388	1618	2251
389	1622	2246
390	1627	2243
391	1631	2238
392	1635	2234
393	1640	2231
394	1644	2227
395	1648	2223
396	1653	2219
397	1657	2215
398	1662	2212
399	1665	2207
400	1670	2203
